profile_id,base_profile,feature,model,n_runs,modal_count,mar,n_unique_outputs
A_website_dwell_time_high,A,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
A_website_dwell_time_high,A,website_dwell_time,meta-llama-3.1-8b-instruct,5,2,0.4,3
A_website_dwell_time_high,A,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
A_website_dwell_time_low,A,website_dwell_time,openai-gpt-oss-120b,5,3,0.6,2
B_company_size_high,B,company_size,apertus-70b-instruct-2509,5,5,1.0,1
B_company_size_high,B,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_company_size_high,B,company_size,openai-gpt-oss-120b,5,5,1.0,1
B_company_size_low,B,company_size,apertus-70b-instruct-2509,5,5,1.0,1
B_company_size_low,B,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_company_size_low,B,company_size,openai-gpt-oss-120b,5,5,1.0,1
B_demo_requests_high,B,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
B_demo_requests_high,B,demo_requests,meta-llama-3.1-8b-instruct,5,4,0.8,2
B_demo_requests_high,B,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
B_demo_requests_low,B,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
B_demo_requests_low,B,demo_requests,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_demo_requests_low,B,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
B_email_response_icp,B,email_response,apertus-70b-instruct-2509,5,5,1.0,1
B_email_response_icp,B,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_email_response_icp,B,email_response,openai-gpt-oss-120b,5,5,1.0,1
B_email_response_non-icp,B,email_response,apertus-70b-instruct-2509,5,5,1.0,1
B_email_response_non-icp,B,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_email_response_non-icp,B,email_response,openai-gpt-oss-120b,5,5,1.0,1
B_industry_icp,B,industry,apertus-70b-instruct-2509,5,5,1.0,1
B_industry_icp,B,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_industry_icp,B,industry,openai-gpt-oss-120b,5,5,1.0,1
B_industry_non-icp,B,industry,apertus-70b-instruct-2509,5,3,0.6,2
B_industry_non-icp,B,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_industry_non-icp,B,industry,openai-gpt-oss-120b,5,5,1.0,1
B_region_icp,B,region,apertus-70b-instruct-2509,5,5,1.0,1
B_region_icp,B,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_region_icp,B,region,openai-gpt-oss-120b,5,5,1.0,1
B_region_non-icp,B,region,apertus-70b-instruct-2509,5,5,1.0,1
B_region_non-icp,B,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_region_non-icp,B,region,openai-gpt-oss-120b,5,5,1.0,1
B_website_dwell_time_high,B,website_dwell_time,apertus-70b-instruct-2509,5,3,0.6,2
B_website_dwell_time_high,B,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_website_dwell_time_high,B,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
B_website_dwell_time_low,B,website_dwell_time,apertus-70b-instruct-2509,5,3,0.6,2
B_website_dwell_time_low,B,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_website_dwell_time_low,B,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
C_company_size_high,C,company_size,apertus-70b-instruct-2509,5,5,1.0,1
C_company_size_high,C,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_company_size_high,C,company_size,openai-gpt-oss-120b,5,5,1.0,1
C_company_size_low,C,company_size,apertus-70b-instruct-2509,5,5,1.0,1
C_company_size_low,C,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_company_size_low,C,company_size,openai-gpt-oss-120b,5,5,1.0,1
C_demo_requests_high,C,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
C_demo_requests_high,C,demo_requests,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_demo_requests_high,C,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
C_demo_requests_low,C,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
C_demo_requests_low,C,demo_requests,meta-llama-3.1-8b-instruct,5,4,0.8,2
C_demo_requests_low,C,demo_requests,openai-gpt-oss-120b,5,3,0.6,2
C_email_response_icp,C,email_response,apertus-70b-instruct-2509,5,5,1.0,1
C_email_response_icp,C,email_response,meta-llama-3.1-8b-instruct,5,3,0.6,2
C_email_response_icp,C,email_response,openai-gpt-oss-120b,5,5,1.0,1
C_email_response_non-icp,C,email_response,apertus-70b-instruct-2509,5,5,1.0,1
C_email_response_non-icp,C,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_email_response_non-icp,C,email_response,openai-gpt-oss-120b,5,3,0.6,2
C_industry_icp,C,industry,apertus-70b-instruct-2509,5,5,1.0,1
C_industry_icp,C,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_industry_icp,C,industry,openai-gpt-oss-120b,5,5,1.0,1
C_industry_non-icp,C,industry,apertus-70b-instruct-2509,5,4,0.8,2
C_industry_non-icp,C,industry,meta-llama-3.1-8b-instruct,5,3,0.6,2
C_industry_non-icp,C,industry,openai-gpt-oss-120b,5,5,1.0,1
C_region_icp,C,region,apertus-70b-instruct-2509,5,5,1.0,1
C_region_icp,C,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_region_icp,C,region,openai-gpt-oss-120b,5,5,1.0,1
C_region_non-icp,C,region,apertus-70b-instruct-2509,5,5,1.0,1
C_region_non-icp,C,region,meta-llama-3.1-8b-instruct,5,4,0.8,2
C_region_non-icp,C,region,openai-gpt-oss-120b,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
D_company_size_high,D,company_size,apertus-70b-instruct-2509,5,5,1.0,1
D_company_size_high,D,company_size,meta-llama-3.1-8b-instruct,5,3,0.6,2
D_company_size_high,D,company_size,openai-gpt-oss-120b,5,5,1.0,1
D_company_size_low,D,company_size,apertus-70b-instruct-2509,5,5,1.0,1
D_company_size_low,D,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_company_size_low,D,company_size,openai-gpt-oss-120b,5,5,1.0,1
D_demo_requests_high,D,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
D_demo_requests_high,D,demo_requests,meta-llama-3.1-8b-instruct,5,4,0.8,2
D_demo_requests_high,D,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
D_demo_requests_low,D,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
D_demo_requests_low,D,demo_requests,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_demo_requests_low,D,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
D_email_response_icp,D,email_response,apertus-70b-instruct-2509,5,5,1.0,1
D_email_response_icp,D,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_email_response_icp,D,email_response,openai-gpt-oss-120b,5,5,1.0,1
D_email_response_non-icp,D,email_response,apertus-70b-instruct-2509,5,5,1.0,1
D_email_response_non-icp,D,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_email_response_non-icp,D,email_response,openai-gpt-oss-120b,5,5,1.0,1
D_industry_icp,D,industry,apertus-70b-instruct-2509,5,4,0.8,2
D_industry_icp,D,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_industry_icp,D,industry,openai-gpt-oss-120b,5,5,1.0,1
D_industry_non-icp,D,industry,apertus-70b-instruct-2509,5,5,1.0,1
D_industry_non-icp,D,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_industry_non-icp,D,industry,openai-gpt-oss-120b,5,5,1.0,1
D_region_icp,D,region,apertus-70b-instruct-2509,5,5,1.0,1
D_region_icp,D,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_region_icp,D,region,openai-gpt-oss-120b,5,5,1.0,1
D_region_non-icp,D,region,apertus-70b-instruct-2509,5,5,1.0,1
D_region_non-icp,D,region,meta-llama-3.1-8b-instruct,5,4,0.8,2
D_region_non-icp,D,region,openai-gpt-oss-120b,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
E_company_size_high,E,company_size,apertus-70b-instruct-2509,5,5,1.0,1
E_company_size_high,E,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_company_size_high,E,company_size,openai-gpt-oss-120b,5,5,1.0,1
E_company_size_low,E,company_size,apertus-70b-instruct-2509,5,5,1.0,1
E_company_size_low,E,company_size,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_company_size_low,E,company_size,openai-gpt-oss-120b,5,3,0.6,2
E_demo_requests_high,E,demo_requests,apertus-70b-instruct-2509,5,5,1.0,1
E_demo_requests_high,E,demo_requests,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_demo_requests_high,E,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
E_demo_requests_low,E,demo_requests,apertus-70b-instruct-2509,5,4,0.8,2
E_demo_requests_low,E,demo_requests,meta-llama-3.1-8b-instruct,5,3,0.6,2
E_demo_requests_low,E,demo_requests,openai-gpt-oss-120b,5,5,1.0,1
E_email_response_icp,E,email_response,apertus-70b-instruct-2509,5,5,1.0,1
E_email_response_icp,E,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_email_response_icp,E,email_response,openai-gpt-oss-120b,5,5,1.0,1
E_email_response_non-icp,E,email_response,apertus-70b-instruct-2509,5,5,1.0,1
E_email_response_non-icp,E,email_response,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_email_response_non-icp,E,email_response,openai-gpt-oss-120b,5,5,1.0,1
E_industry_icp,E,industry,apertus-70b-instruct-2509,5,5,1.0,1
E_industry_icp,E,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_industry_icp,E,industry,openai-gpt-oss-120b,5,5,1.0,1
E_industry_non-icp,E,industry,apertus-70b-instruct-2509,5,5,1.0,1
E_industry_non-icp,E,industry,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_industry_non-icp,E,industry,openai-gpt-oss-120b,5,5,1.0,1
E_region_icp,E,region,apertus-70b-instruct-2509,5,5,1.0,1
E_region_icp,E,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_region_icp,E,region,openai-gpt-oss-120b,5,5,1.0,1
E_region_non-icp,E,region,apertus-70b-instruct-2509,5,5,1.0,1
E_region_non-icp,E,region,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_region_non-icp,E,region,openai-gpt-oss-120b,5,5,1.0,1
E_website_dwell_time_high,E,website_dwell_time,apertus-70b-instruct-2509,5,4,0.8,2
E_website_dwell_time_high,E,website_dwell_time,meta-llama-3.1-8b-instruct,5,3,0.6,2
E_website_dwell_time_high,E,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,apertus-70b-instruct-2509,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,openai-gpt-oss-120b,5,5,1.0,1
