profile_id,base_profile,feature,is_baseline,model,n_runs,modal_count,mar,n_unique_outputs
B_industry_non-icp,B,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
B_industry_non-icp,B,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_industry_non-icp,B,industry,False,openai-gpt-oss-120b,5,5,1.0,1
B_region_icp,B,region,False,apertus-70b-instruct-2509,5,5,1.0,1
B_region_icp,B,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_region_icp,B,region,False,openai-gpt-oss-120b,5,5,1.0,1
B_region_non-icp,B,region,False,apertus-70b-instruct-2509,5,5,1.0,1
B_region_non-icp,B,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_region_non-icp,B,region,False,openai-gpt-oss-120b,5,5,1.0,1
B_website_dwell_time_high,B,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
B_website_dwell_time_high,B,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_website_dwell_time_high,B,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
B_website_dwell_time_low,B,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
B_website_dwell_time_low,B,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
B_website_dwell_time_low,B,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
C_BASE,C,baseline,True,apertus-70b-instruct-2509,5,5,1.0,1
C_BASE,C,baseline,True,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_BASE,C,baseline,True,openai-gpt-oss-120b,5,5,1.0,1
C_company_size_high,C,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
C_company_size_high,C,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_company_size_high,C,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
C_company_size_low,C,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
C_company_size_low,C,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_company_size_low,C,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
C_demo_requests_high,C,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
C_demo_requests_high,C,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_demo_requests_high,C,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
C_demo_requests_low,C,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
C_demo_requests_low,C,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_demo_requests_low,C,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
C_email_response_icp,C,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
C_email_response_icp,C,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_email_response_icp,C,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
C_email_response_non-icp,C,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
C_email_response_non-icp,C,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_email_response_non-icp,C,email_response,False,openai-gpt-oss-120b,5,3,0.6,2
C_industry_icp,C,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
C_industry_icp,C,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_industry_icp,C,industry,False,openai-gpt-oss-120b,5,5,1.0,1
C_industry_non-icp,C,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
C_industry_non-icp,C,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_industry_non-icp,C,industry,False,openai-gpt-oss-120b,5,5,1.0,1
C_region_icp,C,region,False,apertus-70b-instruct-2509,5,5,1.0,1
C_region_icp,C,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_region_icp,C,region,False,openai-gpt-oss-120b,5,5,1.0,1
C_region_non-icp,C,region,False,apertus-70b-instruct-2509,5,5,1.0,1
C_region_non-icp,C,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_region_non-icp,C,region,False,openai-gpt-oss-120b,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_website_dwell_time_high,C,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
C_website_dwell_time_low,C,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
D_BASE,D,baseline,True,apertus-70b-instruct-2509,5,5,1.0,1
D_BASE,D,baseline,True,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_BASE,D,baseline,True,openai-gpt-oss-120b,5,5,1.0,1
D_company_size_high,D,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
D_company_size_high,D,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_company_size_high,D,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
D_company_size_low,D,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
D_company_size_low,D,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_company_size_low,D,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
D_demo_requests_high,D,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
D_demo_requests_high,D,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_demo_requests_high,D,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
D_demo_requests_low,D,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
D_demo_requests_low,D,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_demo_requests_low,D,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
D_email_response_icp,D,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
D_email_response_icp,D,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_email_response_icp,D,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
D_email_response_non-icp,D,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
D_email_response_non-icp,D,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_email_response_non-icp,D,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
D_industry_icp,D,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
D_industry_icp,D,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_industry_icp,D,industry,False,openai-gpt-oss-120b,5,5,1.0,1
D_industry_non-icp,D,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
D_industry_non-icp,D,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_industry_non-icp,D,industry,False,openai-gpt-oss-120b,5,5,1.0,1
D_region_icp,D,region,False,apertus-70b-instruct-2509,5,5,1.0,1
D_region_icp,D,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_region_icp,D,region,False,openai-gpt-oss-120b,5,5,1.0,1
D_region_non-icp,D,region,False,apertus-70b-instruct-2509,5,5,1.0,1
D_region_non-icp,D,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_region_non-icp,D,region,False,openai-gpt-oss-120b,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_website_dwell_time_high,D,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
D_website_dwell_time_low,D,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
E_BASE,E,baseline,True,apertus-70b-instruct-2509,5,5,1.0,1
E_BASE,E,baseline,True,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_BASE,E,baseline,True,openai-gpt-oss-120b,5,3,0.6,2
E_company_size_high,E,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
E_company_size_high,E,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_company_size_high,E,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
E_company_size_low,E,company_size,False,apertus-70b-instruct-2509,5,5,1.0,1
E_company_size_low,E,company_size,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_company_size_low,E,company_size,False,openai-gpt-oss-120b,5,5,1.0,1
E_demo_requests_high,E,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
E_demo_requests_high,E,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_demo_requests_high,E,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
E_demo_requests_low,E,demo_requests,False,apertus-70b-instruct-2509,5,5,1.0,1
E_demo_requests_low,E,demo_requests,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_demo_requests_low,E,demo_requests,False,openai-gpt-oss-120b,5,5,1.0,1
E_email_response_icp,E,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
E_email_response_icp,E,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_email_response_icp,E,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
E_email_response_non-icp,E,email_response,False,apertus-70b-instruct-2509,5,5,1.0,1
E_email_response_non-icp,E,email_response,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_email_response_non-icp,E,email_response,False,openai-gpt-oss-120b,5,5,1.0,1
E_industry_icp,E,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
E_industry_icp,E,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_industry_icp,E,industry,False,openai-gpt-oss-120b,5,4,0.8,2
E_industry_non-icp,E,industry,False,apertus-70b-instruct-2509,5,5,1.0,1
E_industry_non-icp,E,industry,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_industry_non-icp,E,industry,False,openai-gpt-oss-120b,5,5,1.0,1
E_region_icp,E,region,False,apertus-70b-instruct-2509,5,5,1.0,1
E_region_icp,E,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_region_icp,E,region,False,openai-gpt-oss-120b,5,3,0.6,2
E_region_non-icp,E,region,False,apertus-70b-instruct-2509,5,5,1.0,1
E_region_non-icp,E,region,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_region_non-icp,E,region,False,openai-gpt-oss-120b,5,3,0.6,2
E_website_dwell_time_high,E,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
E_website_dwell_time_high,E,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_website_dwell_time_high,E,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,False,apertus-70b-instruct-2509,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,False,meta-llama-3.1-8b-instruct,5,5,1.0,1
E_website_dwell_time_low,E,website_dwell_time,False,openai-gpt-oss-120b,5,5,1.0,1
