case,model,profile_id,perturbed_feature,n_runs,majority_code,majority_share,consistent
A_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_company_size_high,company_size,5,3.0,1.0,1
A_industry_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_industry_icp,industry,5,0.0,1.0,1
A_industry_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_industry_non-icp,industry,5,3.0,0.8,0
A_industry_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_industry_non-icp,industry,5,2.0,0.6,0
A_industry_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_industry_non-icp,industry,5,0.0,1.0,1
A_region_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_region_icp,region,5,0.0,1.0,1
A_region_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_region_icp,region,5,0.0,1.0,1
A_region_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_region_icp,region,5,0.0,1.0,1
A_region_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_region_non-icp,region,5,0.0,1.0,1
A_region_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_region_non-icp,region,5,0.0,1.0,1
A_region_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,A_region_non-icp,region,5,0.0,1.0,1
A_website_dwell_time_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
A_website_dwell_time_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_website_dwell_time_high,website_dwell_time,5,3.0,0.8,0
A_website_dwell_time_high | openai-gpt-oss-120b,openai-gpt-oss-120b,A_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
A_website_dwell_time_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,A_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
A_website_dwell_time_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,A_website_dwell_time_low,website_dwell_time,5,1.0,0.6,0
A_website_dwell_time_low | openai-gpt-oss-120b,openai-gpt-oss-120b,A_website_dwell_time_low,website_dwell_time,5,1.0,0.6,0
B_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_company_size_high,company_size,5,0.0,1.0,1
B_company_size_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_company_size_high,company_size,5,2.0,1.0,1
B_company_size_high | openai-gpt-oss-120b,openai-gpt-oss-120b,B_company_size_high,company_size,5,0.0,1.0,1
B_company_size_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_company_size_low,company_size,5,1.0,1.0,1
B_company_size_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_company_size_low,company_size,5,1.0,1.0,1
B_company_size_low | openai-gpt-oss-120b,openai-gpt-oss-120b,B_company_size_low,company_size,5,0.0,1.0,1
B_demo_requests_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_demo_requests_high,demo_requests,5,3.0,1.0,1
B_demo_requests_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_demo_requests_high,demo_requests,5,0.0,0.8,0
B_demo_requests_high | openai-gpt-oss-120b,openai-gpt-oss-120b,B_demo_requests_high,demo_requests,5,3.0,1.0,1
B_demo_requests_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_demo_requests_low,demo_requests,5,3.0,1.0,1
B_demo_requests_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_demo_requests_low,demo_requests,5,1.0,1.0,1
B_demo_requests_low | openai-gpt-oss-120b,openai-gpt-oss-120b,B_demo_requests_low,demo_requests,5,1.0,1.0,1
B_email_response_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_email_response_icp,email_response,5,3.0,1.0,1
B_email_response_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_email_response_icp,email_response,5,3.0,1.0,1
B_email_response_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_email_response_icp,email_response,5,3.0,0.6,0
B_email_response_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_email_response_non-icp,email_response,5,3.0,1.0,1
B_email_response_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_email_response_non-icp,email_response,5,1.0,0.8,0
B_email_response_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_email_response_non-icp,email_response,5,3.0,1.0,1
B_industry_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_industry_icp,industry,5,0.0,1.0,1
B_industry_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_industry_icp,industry,5,0.0,1.0,1
B_industry_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_industry_icp,industry,5,0.0,1.0,1
B_industry_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_industry_non-icp,industry,5,2.0,0.6,0
B_industry_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_industry_non-icp,industry,5,0.0,1.0,1
B_industry_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_industry_non-icp,industry,5,0.0,1.0,1
B_region_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_region_icp,region,5,0.0,1.0,1
B_region_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_region_icp,region,5,0.0,1.0,1
B_region_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_region_icp,region,5,0.0,1.0,1
B_region_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_region_non-icp,region,5,0.0,1.0,1
B_region_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_region_non-icp,region,5,0.0,1.0,1
B_region_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,B_region_non-icp,region,5,0.0,1.0,1
B_website_dwell_time_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_website_dwell_time_high,website_dwell_time,5,0.0,0.6,0
B_website_dwell_time_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_website_dwell_time_high,website_dwell_time,5,1.0,0.6,0
B_website_dwell_time_high | openai-gpt-oss-120b,openai-gpt-oss-120b,B_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
B_website_dwell_time_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,B_website_dwell_time_low,website_dwell_time,5,3.0,1.0,1
B_website_dwell_time_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,B_website_dwell_time_low,website_dwell_time,5,1.0,1.0,1
B_website_dwell_time_low | openai-gpt-oss-120b,openai-gpt-oss-120b,B_website_dwell_time_low,website_dwell_time,5,3.0,1.0,1
C_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_company_size_high,company_size,5,3.0,1.0,1
C_company_size_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_company_size_high,company_size,5,3.0,1.0,1
C_company_size_high | openai-gpt-oss-120b,openai-gpt-oss-120b,C_company_size_high,company_size,5,0.0,1.0,1
C_company_size_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_company_size_low,company_size,5,3.0,1.0,1
C_company_size_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_company_size_low,company_size,5,3.0,1.0,1
C_company_size_low | openai-gpt-oss-120b,openai-gpt-oss-120b,C_company_size_low,company_size,5,0.0,1.0,1
C_demo_requests_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_demo_requests_high,demo_requests,5,3.0,1.0,1
C_demo_requests_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_demo_requests_high,demo_requests,5,3.0,1.0,1
C_demo_requests_high | openai-gpt-oss-120b,openai-gpt-oss-120b,C_demo_requests_high,demo_requests,5,3.0,1.0,1
C_demo_requests_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_demo_requests_low,demo_requests,5,0.0,1.0,1
C_demo_requests_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_demo_requests_low,demo_requests,5,0.0,0.8,0
C_demo_requests_low | openai-gpt-oss-120b,openai-gpt-oss-120b,C_demo_requests_low,demo_requests,5,3.0,0.6,0
C_email_response_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_email_response_icp,email_response,5,3.0,1.0,1
C_email_response_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_email_response_icp,email_response,5,3.0,0.6,0
C_email_response_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_email_response_icp,email_response,5,3.0,1.0,1
C_email_response_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_email_response_non-icp,email_response,5,3.0,1.0,1
C_email_response_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_email_response_non-icp,email_response,5,1.0,0.4,0
C_email_response_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_email_response_non-icp,email_response,5,3.0,0.6,0
C_industry_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_industry_icp,industry,5,0.0,1.0,1
C_industry_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_industry_icp,industry,5,1.0,0.8,0
C_industry_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_industry_icp,industry,5,0.0,1.0,1
C_industry_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_industry_non-icp,industry,5,0.0,0.8,0
C_industry_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_industry_non-icp,industry,5,0.0,0.6,0
C_industry_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_industry_non-icp,industry,5,0.0,1.0,1
C_region_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_region_icp,region,5,0.0,1.0,1
C_region_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_region_icp,region,5,0.0,1.0,1
C_region_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_region_icp,region,5,0.0,1.0,1
C_region_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_region_non-icp,region,5,0.0,1.0,1
C_region_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_region_non-icp,region,5,0.0,0.8,0
C_region_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,C_region_non-icp,region,5,0.0,1.0,1
C_website_dwell_time_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
C_website_dwell_time_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
C_website_dwell_time_high | openai-gpt-oss-120b,openai-gpt-oss-120b,C_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
C_website_dwell_time_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,C_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
C_website_dwell_time_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,C_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
C_website_dwell_time_low | openai-gpt-oss-120b,openai-gpt-oss-120b,C_website_dwell_time_low,website_dwell_time,5,3.0,0.8,0
D_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_company_size_high,company_size,5,3.0,1.0,1
D_company_size_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_company_size_high,company_size,5,3.0,1.0,1
D_company_size_high | openai-gpt-oss-120b,openai-gpt-oss-120b,D_company_size_high,company_size,5,0.0,1.0,1
D_company_size_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_company_size_low,company_size,5,0.0,1.0,1
D_company_size_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_company_size_low,company_size,5,3.0,0.8,0
D_company_size_low | openai-gpt-oss-120b,openai-gpt-oss-120b,D_company_size_low,company_size,5,2.0,1.0,1
D_demo_requests_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_demo_requests_high,demo_requests,5,3.0,1.0,1
D_demo_requests_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_demo_requests_high,demo_requests,5,3.0,0.8,0
D_demo_requests_high | openai-gpt-oss-120b,openai-gpt-oss-120b,D_demo_requests_high,demo_requests,5,3.0,1.0,1
D_demo_requests_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_demo_requests_low,demo_requests,5,0.0,1.0,1
D_demo_requests_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_demo_requests_low,demo_requests,5,3.0,1.0,1
D_demo_requests_low | openai-gpt-oss-120b,openai-gpt-oss-120b,D_demo_requests_low,demo_requests,5,3.0,1.0,1
D_email_response_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_email_response_icp,email_response,5,3.0,1.0,1
D_email_response_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_email_response_icp,email_response,5,3.0,1.0,1
D_email_response_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_email_response_icp,email_response,5,1.0,0.6,0
D_email_response_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_email_response_non-icp,email_response,5,3.0,1.0,1
D_email_response_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_email_response_non-icp,email_response,5,3.0,1.0,1
D_email_response_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_email_response_non-icp,email_response,5,2.0,0.6,0
D_industry_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_industry_icp,industry,5,3.0,0.8,0
D_industry_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_industry_icp,industry,5,3.0,1.0,1
D_industry_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_industry_icp,industry,5,0.0,1.0,1
D_industry_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_industry_non-icp,industry,5,3.0,1.0,1
D_industry_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_industry_non-icp,industry,5,3.0,1.0,1
D_industry_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_industry_non-icp,industry,5,0.0,1.0,1
D_region_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_region_icp,region,5,0.0,1.0,1
D_region_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_region_icp,region,5,0.0,1.0,1
D_region_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_region_icp,region,5,0.0,1.0,1
D_region_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_region_non-icp,region,5,0.0,1.0,1
D_region_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_region_non-icp,region,5,0.0,0.8,0
D_region_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,D_region_non-icp,region,5,0.0,1.0,1
D_website_dwell_time_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
D_website_dwell_time_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_website_dwell_time_high,website_dwell_time,5,0.0,1.0,1
D_website_dwell_time_high | openai-gpt-oss-120b,openai-gpt-oss-120b,D_website_dwell_time_high,website_dwell_time,5,3.0,1.0,1
D_website_dwell_time_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,D_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
D_website_dwell_time_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,D_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
D_website_dwell_time_low | openai-gpt-oss-120b,openai-gpt-oss-120b,D_website_dwell_time_low,website_dwell_time,5,2.0,0.8,0
E_company_size_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_company_size_high,company_size,5,3.0,1.0,1
E_company_size_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_company_size_high,company_size,5,2.0,1.0,1
E_company_size_high | openai-gpt-oss-120b,openai-gpt-oss-120b,E_company_size_high,company_size,5,2.0,1.0,1
E_company_size_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_company_size_low,company_size,5,3.0,1.0,1
E_company_size_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_company_size_low,company_size,5,1.0,1.0,1
E_company_size_low | openai-gpt-oss-120b,openai-gpt-oss-120b,E_company_size_low,company_size,5,0.0,0.6,0
E_demo_requests_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_demo_requests_high,demo_requests,5,3.0,1.0,1
E_demo_requests_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_demo_requests_high,demo_requests,5,3.0,1.0,1
E_demo_requests_high | openai-gpt-oss-120b,openai-gpt-oss-120b,E_demo_requests_high,demo_requests,5,3.0,1.0,1
E_demo_requests_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_demo_requests_low,demo_requests,5,1.0,0.8,0
E_demo_requests_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_demo_requests_low,demo_requests,5,0.0,0.4,0
E_demo_requests_low | openai-gpt-oss-120b,openai-gpt-oss-120b,E_demo_requests_low,demo_requests,5,3.0,1.0,1
E_email_response_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_email_response_icp,email_response,5,3.0,1.0,1
E_email_response_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_email_response_icp,email_response,5,3.0,1.0,1
E_email_response_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_email_response_icp,email_response,5,3.0,1.0,1
E_email_response_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_email_response_non-icp,email_response,5,1.0,1.0,1
E_email_response_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_email_response_non-icp,email_response,5,3.0,1.0,1
E_email_response_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_email_response_non-icp,email_response,5,3.0,1.0,1
E_industry_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_industry_icp,industry,5,3.0,1.0,1
E_industry_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_industry_icp,industry,5,0.0,1.0,1
E_industry_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_industry_icp,industry,5,0.0,1.0,1
E_industry_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_industry_non-icp,industry,5,3.0,1.0,1
E_industry_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_industry_non-icp,industry,5,0.0,1.0,1
E_industry_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_industry_non-icp,industry,5,0.0,1.0,1
E_region_icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_region_icp,region,5,0.0,1.0,1
E_region_icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_region_icp,region,5,0.0,1.0,1
E_region_icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_region_icp,region,5,0.0,1.0,1
E_region_non-icp | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_region_non-icp,region,5,0.0,1.0,1
E_region_non-icp | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_region_non-icp,region,5,0.0,1.0,1
E_region_non-icp | openai-gpt-oss-120b,openai-gpt-oss-120b,E_region_non-icp,region,5,0.0,1.0,1
E_website_dwell_time_high | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_website_dwell_time_high,website_dwell_time,5,0.0,0.8,0
E_website_dwell_time_high | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_website_dwell_time_high,website_dwell_time,5,1.0,0.6,0
E_website_dwell_time_high | openai-gpt-oss-120b,openai-gpt-oss-120b,E_website_dwell_time_high,website_dwell_time,5,1.0,0.6,0
E_website_dwell_time_low | apertus-70b-instruct-2509,apertus-70b-instruct-2509,E_website_dwell_time_low,website_dwell_time,5,0.0,1.0,1
E_website_dwell_time_low | meta-llama-3.1-8b-instruct,meta-llama-3.1-8b-instruct,E_website_dwell_time_low,website_dwell_time,5,1.0,0.6,0
E_website_dwell_time_low | openai-gpt-oss-120b,openai-gpt-oss-120b,E_website_dwell_time_low,website_dwell_time,5,3.0,1.0,1
