profile_id,model,base_profile,perturbation,perturbed_feature,n_explanations,n_code3,alignment_share,n_code0,n_code1,n_code2,complete_alignment,majority_score,baseline_majority_score,score_changed,n_score_runs,n_baseline_score_runs
C_industry_icp,apertus-70b-instruct-2509,C,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
C_industry_icp,meta-llama-3.1-8b-instruct,C,industry_icp,industry,5,0,0.0,0,5,0,0,1,1,0,5,5
C_industry_icp,openai-gpt-oss-120b,C,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
C_industry_non-icp,apertus-70b-instruct-2509,C,industry_non-icp,industry,5,1,0.2,4,0,0,0,1,1,0,5,5
C_industry_non-icp,meta-llama-3.1-8b-instruct,C,industry_non-icp,industry,5,2,0.4,3,0,0,0,1,1,0,5,5
C_industry_non-icp,openai-gpt-oss-120b,C,industry_non-icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
C_region_icp,apertus-70b-instruct-2509,C,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
C_region_icp,meta-llama-3.1-8b-instruct,C,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
C_region_icp,openai-gpt-oss-120b,C,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
C_region_non-icp,apertus-70b-instruct-2509,C,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
C_region_non-icp,meta-llama-3.1-8b-instruct,C,region_non-icp,region,5,0,0.0,4,1,0,0,1,1,0,5,5
C_region_non-icp,openai-gpt-oss-120b,C,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
C_website_dwell_time_high,apertus-70b-instruct-2509,C,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
C_website_dwell_time_high,meta-llama-3.1-8b-instruct,C,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
C_website_dwell_time_high,openai-gpt-oss-120b,C,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
C_website_dwell_time_low,apertus-70b-instruct-2509,C,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
C_website_dwell_time_low,meta-llama-3.1-8b-instruct,C,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
C_website_dwell_time_low,openai-gpt-oss-120b,C,website_dwell_time_low,website_dwell_time,5,0,0.0,0,0,5,0,1,1,0,5,5
D_company_size_high,apertus-70b-instruct-2509,D,company_size_high,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
D_company_size_high,meta-llama-3.1-8b-instruct,D,company_size_high,company_size,5,3,0.6,0,2,0,0,1,1,0,5,5
D_company_size_high,openai-gpt-oss-120b,D,company_size_high,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
D_company_size_low,apertus-70b-instruct-2509,D,company_size_low,company_size,5,0,0.0,5,0,0,0,1,1,0,5,5
D_company_size_low,meta-llama-3.1-8b-instruct,D,company_size_low,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
D_company_size_low,openai-gpt-oss-120b,D,company_size_low,company_size,5,0,0.0,0,0,5,0,1,1,0,5,5
D_demo_requests_high,apertus-70b-instruct-2509,D,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
D_demo_requests_high,meta-llama-3.1-8b-instruct,D,demo_requests_high,demo_requests,5,4,0.8,0,1,0,0,1,1,0,5,5
D_demo_requests_high,openai-gpt-oss-120b,D,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
D_demo_requests_low,apertus-70b-instruct-2509,D,demo_requests_low,demo_requests,5,0,0.0,5,0,0,0,1,1,0,5,5
D_demo_requests_low,meta-llama-3.1-8b-instruct,D,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,1,1,5,5
D_demo_requests_low,openai-gpt-oss-120b,D,demo_requests_low,demo_requests,5,0,0.0,0,0,5,0,1,1,0,5,5
D_email_response_icp,apertus-70b-instruct-2509,D,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
D_email_response_icp,meta-llama-3.1-8b-instruct,D,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
D_email_response_icp,openai-gpt-oss-120b,D,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
D_email_response_non-icp,apertus-70b-instruct-2509,D,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
D_email_response_non-icp,meta-llama-3.1-8b-instruct,D,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
D_email_response_non-icp,openai-gpt-oss-120b,D,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
D_industry_icp,apertus-70b-instruct-2509,D,industry_icp,industry,5,4,0.8,1,0,0,0,1,1,0,5,5
D_industry_icp,meta-llama-3.1-8b-instruct,D,industry_icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
D_industry_icp,openai-gpt-oss-120b,D,industry_icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
D_industry_non-icp,apertus-70b-instruct-2509,D,industry_non-icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
D_industry_non-icp,meta-llama-3.1-8b-instruct,D,industry_non-icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
D_industry_non-icp,openai-gpt-oss-120b,D,industry_non-icp,industry,5,0,0.0,5,0,0,0,1,1,0,5,5
D_region_icp,apertus-70b-instruct-2509,D,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
D_region_icp,meta-llama-3.1-8b-instruct,D,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
D_region_icp,openai-gpt-oss-120b,D,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
D_region_non-icp,apertus-70b-instruct-2509,D,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
D_region_non-icp,meta-llama-3.1-8b-instruct,D,region_non-icp,region,5,0,0.0,4,1,0,0,1,1,0,5,5
D_region_non-icp,openai-gpt-oss-120b,D,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
D_website_dwell_time_high,apertus-70b-instruct-2509,D,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
D_website_dwell_time_high,meta-llama-3.1-8b-instruct,D,website_dwell_time_high,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
D_website_dwell_time_high,openai-gpt-oss-120b,D,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,1,0,5,5
D_website_dwell_time_low,apertus-70b-instruct-2509,D,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
D_website_dwell_time_low,meta-llama-3.1-8b-instruct,D,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
D_website_dwell_time_low,openai-gpt-oss-120b,D,website_dwell_time_low,website_dwell_time,5,0,0.0,0,0,5,0,1,1,0,5,5
E_company_size_high,apertus-70b-instruct-2509,E,company_size_high,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
E_company_size_high,meta-llama-3.1-8b-instruct,E,company_size_high,company_size,5,0,0.0,0,0,5,0,0,0,0,5,5
E_company_size_high,openai-gpt-oss-120b,E,company_size_high,company_size,5,0,0.0,0,0,5,0,0,0,0,5,5
E_company_size_low,apertus-70b-instruct-2509,E,company_size_low,company_size,5,5,1.0,0,0,0,1,1,1,0,5,5
E_company_size_low,meta-llama-3.1-8b-instruct,E,company_size_low,company_size,5,5,1.0,0,0,0,1,0,0,0,5,5
E_company_size_low,openai-gpt-oss-120b,E,company_size_low,company_size,5,2,0.4,3,0,0,0,0,0,0,5,5
E_demo_requests_high,apertus-70b-instruct-2509,E,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,1,0,5,5
E_demo_requests_high,meta-llama-3.1-8b-instruct,E,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,0,1,5,5
E_demo_requests_high,openai-gpt-oss-120b,E,demo_requests_high,demo_requests,5,5,1.0,0,0,0,1,1,0,1,5,5
E_demo_requests_low,apertus-70b-instruct-2509,E,demo_requests_low,demo_requests,5,1,0.2,0,4,0,0,0,1,1,5,5
E_demo_requests_low,meta-llama-3.1-8b-instruct,E,demo_requests_low,demo_requests,5,3,0.6,2,0,0,0,0,0,0,5,5
E_demo_requests_low,openai-gpt-oss-120b,E,demo_requests_low,demo_requests,5,5,1.0,0,0,0,1,0,0,0,5,5
E_email_response_icp,apertus-70b-instruct-2509,E,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,1,0,5,5
E_email_response_icp,meta-llama-3.1-8b-instruct,E,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,0,1,5,5
E_email_response_icp,openai-gpt-oss-120b,E,email_response_icp,email_response,5,5,1.0,0,0,0,1,1,0,1,5,5
E_email_response_non-icp,apertus-70b-instruct-2509,E,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,1,1,5,5
E_email_response_non-icp,meta-llama-3.1-8b-instruct,E,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,0,0,5,5
E_email_response_non-icp,openai-gpt-oss-120b,E,email_response_non-icp,email_response,5,5,1.0,0,0,0,1,0,0,0,5,5
E_industry_icp,apertus-70b-instruct-2509,E,industry_icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
E_industry_icp,meta-llama-3.1-8b-instruct,E,industry_icp,industry,5,0,0.0,5,0,0,0,0,0,0,5,5
E_industry_icp,openai-gpt-oss-120b,E,industry_icp,industry,5,0,0.0,5,0,0,0,1,0,1,5,5
E_industry_non-icp,apertus-70b-instruct-2509,E,industry_non-icp,industry,5,5,1.0,0,0,0,1,1,1,0,5,5
E_industry_non-icp,meta-llama-3.1-8b-instruct,E,industry_non-icp,industry,5,0,0.0,5,0,0,0,0,0,0,5,5
E_industry_non-icp,openai-gpt-oss-120b,E,industry_non-icp,industry,5,0,0.0,5,0,0,0,1,0,1,5,5
E_region_icp,apertus-70b-instruct-2509,E,region_icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
E_region_icp,meta-llama-3.1-8b-instruct,E,region_icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
E_region_icp,openai-gpt-oss-120b,E,region_icp,region,5,0,0.0,5,0,0,0,1,0,1,5,5
E_region_non-icp,apertus-70b-instruct-2509,E,region_non-icp,region,5,0,0.0,5,0,0,0,1,1,0,5,5
E_region_non-icp,meta-llama-3.1-8b-instruct,E,region_non-icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
E_region_non-icp,openai-gpt-oss-120b,E,region_non-icp,region,5,0,0.0,5,0,0,0,0,0,0,5,5
E_website_dwell_time_high,apertus-70b-instruct-2509,E,website_dwell_time_high,website_dwell_time,5,1,0.2,4,0,0,0,1,1,0,5,5
E_website_dwell_time_high,meta-llama-3.1-8b-instruct,E,website_dwell_time_high,website_dwell_time,5,3,0.6,2,0,0,0,0,0,0,5,5
E_website_dwell_time_high,openai-gpt-oss-120b,E,website_dwell_time_high,website_dwell_time,5,5,1.0,0,0,0,1,1,0,1,5,5
E_website_dwell_time_low,apertus-70b-instruct-2509,E,website_dwell_time_low,website_dwell_time,5,0,0.0,5,0,0,0,1,1,0,5,5
E_website_dwell_time_low,meta-llama-3.1-8b-instruct,E,website_dwell_time_low,website_dwell_time,5,5,1.0,0,0,0,1,0,0,0,5,5
E_website_dwell_time_low,openai-gpt-oss-120b,E,website_dwell_time_low,website_dwell_time,5,5,1.0,0,0,0,1,0,0,0,5,5
