outcome,n_runs,n_unique_categories,fully_stable,any_instability,modal_share,instability,n_modal_categories,mode_tie,modal_categories,run_pattern,profile_id,model,n_code_0,n_code_1,n_code_2,n_code_3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_demo_requests_high,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_demo_requests_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_demo_requests_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|2|0|0|0,C_demo_requests_low,meta-llama-3.1-8b-instruct,4,0,1,0
explanation,5,2,0,1,0.6,0.4,1,0,2,0|2|0|2|2,C_demo_requests_low,openai-gpt-oss-120b,2,0,3,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_email_response_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|1|3|1,C_email_response_icp,meta-llama-3.1-8b-instruct,0,2,0,3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_email_response_icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_email_response_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_email_response_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|2|2|3,C_email_response_non-icp,openai-gpt-oss-120b,0,0,2,3
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_industry_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_icp,meta-llama-3.1-8b-instruct,0,5,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_industry_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|0|0|3,C_industry_non-icp,apertus-70b-instruct-2509,4,0,0,1
explanation,5,2,0,1,0.6,0.4,1,0,0,3|0|0|3|0,C_industry_non-icp,meta-llama-3.1-8b-instruct,3,0,0,2
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_industry_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_region_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_region_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_region_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_region_non-icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|1|0|0,C_region_non-icp,meta-llama-3.1-8b-instruct,4,1,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_region_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_website_dwell_time_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_website_dwell_time_high,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,C_website_dwell_time_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_website_dwell_time_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_website_dwell_time_low,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,C_website_dwell_time_low,openai-gpt-oss-120b,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_company_size_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|3|1|1,D_company_size_high,meta-llama-3.1-8b-instruct,0,2,0,3
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_company_size_high,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_company_size_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_company_size_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,D_company_size_low,openai-gpt-oss-120b,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_demo_requests_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,3,3|3|3|1|3,D_demo_requests_high,meta-llama-3.1-8b-instruct,0,1,0,4
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_demo_requests_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_demo_requests_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_demo_requests_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,D_demo_requests_low,openai-gpt-oss-120b,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_email_response_non-icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,3,3|0|3|3|3,D_industry_icp,apertus-70b-instruct-2509,1,0,0,4
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_industry_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_industry_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_industry_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_industry_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_industry_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_region_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_region_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_region_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_region_non-icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|1|0|0|0,D_region_non-icp,meta-llama-3.1-8b-instruct,4,1,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_region_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_website_dwell_time_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_website_dwell_time_high,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,D_website_dwell_time_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_website_dwell_time_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_website_dwell_time_low,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,D_website_dwell_time_low,openai-gpt-oss-120b,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_company_size_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,E_company_size_high,meta-llama-3.1-8b-instruct,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,2,2|2|2|2|2,E_company_size_high,openai-gpt-oss-120b,0,0,5,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_company_size_low,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_company_size_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,2,0,1,0.6,0.4,1,0,0,0|3|3|0|0,E_company_size_low,openai-gpt-oss-120b,3,0,0,2
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_demo_requests_high,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_demo_requests_high,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_demo_requests_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,1,1|3|1|1|1,E_demo_requests_low,apertus-70b-instruct-2509,0,4,0,1
explanation,5,2,0,1,0.6,0.4,1,0,3,0|3|0|3|3,E_demo_requests_low,meta-llama-3.1-8b-instruct,2,0,0,3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_demo_requests_low,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_non-icp,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_email_response_non-icp,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_industry_icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_industry_non-icp,apertus-70b-instruct-2509,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_non-icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_non-icp,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_non-icp,meta-llama-3.1-8b-instruct,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_non-icp,openai-gpt-oss-120b,5,0,0,0
explanation,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|3|0|0,E_website_dwell_time_high,apertus-70b-instruct-2509,4,0,0,1
explanation,5,2,0,1,0.6,0.4,1,0,3,3|3|0|3|0,E_website_dwell_time_high,meta-llama-3.1-8b-instruct,2,0,0,3
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_website_dwell_time_high,openai-gpt-oss-120b,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_website_dwell_time_low,apertus-70b-instruct-2509,5,0,0,0
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,0,0,5
explanation,5,1,1,0,1.0,0.0,1,0,3,3|3|3|3|3,E_website_dwell_time_low,openai-gpt-oss-120b,0,0,0,5
