outcome,n_runs,n_unique_categories,fully_stable,any_instability,modal_share,instability,n_modal_categories,mode_tie,modal_categories,run_pattern,profile_id,model,n_high,n_low,agreement_split
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,A_website_dwell_time_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,A_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.6,0.4,1,0,0,0|0|1|1|0,A_website_dwell_time_low,openai-gpt-oss-120b,2,3,3:2
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_BASE,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_BASE,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.8,0.19999999999999996,1,0,1,1|1|0|1|1,B_BASE,openai-gpt-oss-120b,4,1,4:1
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_high,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_high,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.8,0.19999999999999996,1,0,1,1|1|1|0|1,B_company_size_high,openai-gpt-oss-120b,4,1,4:1
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_low,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_company_size_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_company_size_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_demo_requests_high,apertus-70b-instruct-2509,0,5,5:0
score,5,2,0,1,0.8,0.19999999999999996,1,0,0,0|0|1|0|0,B_demo_requests_high,meta-llama-3.1-8b-instruct,1,4,4:1
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_demo_requests_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_demo_requests_low,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_demo_requests_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_demo_requests_low,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_email_response_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_email_response_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_email_response_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_email_response_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_email_response_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_email_response_non-icp,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_industry_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_industry_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_industry_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_region_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_region_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_region_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_website_dwell_time_high,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_website_dwell_time_high,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,B_website_dwell_time_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_website_dwell_time_low,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,B_website_dwell_time_low,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_BASE,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_BASE,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_BASE,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_low,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_company_size_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_low,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_demo_requests_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_email_response_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_email_response_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_email_response_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_email_response_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,C_email_response_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.6,0.4,1,0,0,0|0|1|1|0,C_email_response_non-icp,openai-gpt-oss-120b,2,3,3:2
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_non-icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_industry_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_non-icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_region_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_low,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,C_website_dwell_time_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_BASE,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_BASE,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_BASE,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_low,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_company_size_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_demo_requests_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_demo_requests_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_demo_requests_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_demo_requests_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_demo_requests_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_demo_requests_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_email_response_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_email_response_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_email_response_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_email_response_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_email_response_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,D_email_response_non-icp,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_non-icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_industry_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_non-icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_region_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_low,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,D_website_dwell_time_low,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_BASE,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_BASE,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.6,0.4,1,0,0,1|0|1|0|0,E_BASE,openai-gpt-oss-120b,2,3,3:2
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_company_size_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_company_size_high,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_company_size_high,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_company_size_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_company_size_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_company_size_low,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_demo_requests_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_demo_requests_high,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_demo_requests_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_demo_requests_low,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_demo_requests_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_demo_requests_low,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_email_response_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_email_response_icp,meta-llama-3.1-8b-instruct,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_email_response_icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_email_response_non-icp,apertus-70b-instruct-2509,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_email_response_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_email_response_non-icp,openai-gpt-oss-120b,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_industry_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.8,0.19999999999999996,1,0,1,1|1|1|1|0,E_industry_icp,openai-gpt-oss-120b,4,1,4:1
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_industry_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_industry_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_industry_non-icp,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_region_icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.6,0.4,1,0,1,1|1|1|0|0,E_region_icp,openai-gpt-oss-120b,3,2,3:2
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_region_non-icp,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_region_non-icp,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,2,0,1,0.6,0.4,1,0,0,0|1|0|1|0,E_region_non-icp,openai-gpt-oss-120b,2,3,3:2
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_website_dwell_time_high,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_website_dwell_time_high,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_website_dwell_time_high,openai-gpt-oss-120b,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,1,1|1|1|1|1,E_website_dwell_time_low,apertus-70b-instruct-2509,5,0,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_website_dwell_time_low,meta-llama-3.1-8b-instruct,0,5,5:0
score,5,1,1,0,1.0,0.0,1,0,0,0|0|0|0|0,E_website_dwell_time_low,openai-gpt-oss-120b,0,5,5:0
