profile_id,run,model,intent,reasoning,parse_error,latency_s
A_demo_requests_low,1,apertus-70b-instruct-2509,Low Intent,"Company size 500 and industry Finance suggest potential interest, but no demo requests and only a neutral email response indicate low purchase intent.",,3.54
B_industry_non-icp,3,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond initial contact indicate limited engagement.,,4.86
B_region_icp,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there is no email response, indicating a lack of engagement.",,2.39
C_industry_icp,3,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests indicate strong interest. Promising email response further supports high intent.,,4.41
B_industry_non-icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there is no email response, indicating low engagement and purchase intent.",,3.96
A_company_size_low,2,apertus-70b-instruct-2509,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",,4.25
C_email_response_icp,2,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (2) indicate strong interest. Email response requesting a meeting next week further supports high intent.,,5.77
B_website_dwell_time_high,3,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement.,,3.4
B_region_non-icp,4,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond initial contact indicate limited engagement.,,2.98
A_email_response_icp,2,openai-gpt-oss-120b,High Intent,"Positive email response and demo_requests indicate strong purchase interest, reinforced by 4 min dwell time.",,3.17
A_demo_requests_high,3,openai-gpt-oss-120b,High Intent,"Multiple demo_requests, 4 min website dwell time, and a positive email response indicate strong purchase intent.",,3.59
E_company_size_low,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is small (10) and dwell time on the website is short (1 min), indicating limited interest.",,3.79
D_website_dwell_time_high,3,openai-gpt-oss-120b,High Intent,"Strong signals: 10 min website_dwell_time, 2 demo_requests and positive email response",,4.71
A_industry_non-icp,4,apertus-70b-instruct-2509,High Intent,"Company size (500) and industry (Public Service) suggest a potential for significant impact and scalability. Website dwell time (4 min) and demo request indicate active interest. Email response 'Looks interesting, could you send more info?' suggests readiness to engage further.",,6.65
E_region_non-icp,1,openai-gpt-oss-120b,Low Intent,Low website_dwell_time (1 min) and only a single demo_requests indicate limited purchase intent.,,1.84
C_company_size_low,2,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=7min, and a very promising email response indicating active evaluation.",,3.48
A_email_response_icp,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (500) and industry (Finance) indicate a medium to large enterprise, which typically has a higher purchase intent. Additionally, the email response suggests a strong interest in scheduling a meeting, indicating a higher level of engagement.",,3.58
A_region_non-icp,4,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate potential for significant investment in data analytics platforms. Website dwell time (4 min) and demo request suggest active interest. Email response indicates openness to more information.,,5.17
A_BASE,3,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.,,5.15
A_company_size_high,2,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4-minute dwell time indicates strong purchase interest.,,2.77
C_website_dwell_time_high,5,openai-gpt-oss-120b,High Intent,"Strong signals: website_dwell_time=10min, demo_requests=2, and email response indicates active evaluation.",,3.35
E_demo_requests_low,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size of 250 and low engagement metrics (1 min website dwell time, 0 demo requests) indicate limited interest in our services.",,3.71
E_industry_non-icp,4,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Public Service) suggest a potential for large-scale implementation of data analytics platforms. The single demo request further indicates active interest.,,4.67
D_industry_icp,4,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent despite moderate dwell time.,,4.54
E_company_size_low,1,openai-gpt-oss-120b,Low Intent,The short website_dwell_time (1 min) and only a single demo_requests indicate limited engagement.,,3.32
B_region_icp,3,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement. Company size and industry are neutral indicators.,,4.61
E_BASE,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is 1 min, indicating limited interest in our services.",,3.44
C_email_response_icp,3,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (2) indicate strong interest. Email response requesting a meeting next week further supports high intent.,,4.45
C_website_dwell_time_low,3,openai-gpt-oss-120b,High Intent,"The email_response indicates they are actively evaluating solutions, which outweighs the low website dwell time.",,4.34
A_email_response_non-icp,5,apertus-70b-instruct-2509,Low Intent,Low engagement (1 demo request) and negative email response indicate lack of interest.,,3.18
A_BASE,2,openai-gpt-oss-120b,High Intent,Demo_requests=1 and positive email response indicate strong purchase interest despite moderate website_dwell_time.,,3.95
A_company_size_low,1,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4-minute dwell time indicates strong purchase interest.,,3.66
B_region_non-icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000 employees), but website dwell time is short (40 sec), and there is no email response, indicating a lack of engagement.",,3.84
A_website_dwell_time_high,5,openai-gpt-oss-120b,High Intent,Strong signals from demo_requests=1 and website_dwell_time=10min indicate high purchase intent.,,5.25
E_email_response_icp,4,openai-gpt-oss-120b,High Intent,Positive email response and demo_requests indicate strong purchase interest despite moderate website_dwell_time.,,4.4
E_website_dwell_time_low,2,openai-gpt-oss-120b,Low Intent,"Despite 1 demo_requests, the very short website_dwell_time (15 sec) suggests limited engagement.",,2.9
C_industry_icp,1,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=7min, and a very promising email response indicating active evaluation.",,4.01
B_industry_non-icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there is no email response, indicating low engagement and purchase intent.",,3.59
A_company_size_low,1,meta-llama-3.1-8b-instruct,High Intent,"Company size is small (10), but industry (Finance) and region (Europe) are relevant, combined with a positive email response ('Looks interesting') and a demo request, indicating strong interest.",,3.69
C_email_response_icp,1,meta-llama-3.1-8b-instruct,High Intent,"Company size is large (80), and the email response indicates a clear interest in scheduling a meeting, which is a strong intent signal.",,3.89
D_email_response_non-icp,1,apertus-70b-instruct-2509,Low Intent,"Email response indicates lack of interest, and low engagement metrics (website dwell time and demo requests) suggest limited interest.",,5.14
A_industry_non-icp,3,apertus-70b-instruct-2509,High Intent,"High website dwell time (4 min) and a demo request indicate strong interest. Email response 'Looks interesting, could you send more info?' suggests active engagement and potential for further discussion.",,5.84
C_industry_icp,5,openai-gpt-oss-120b,High Intent,"Multiple demo_requests, 7 min website_dwell_time, and a very promising email response indicate strong purchase intent.",,3.12
E_demo_requests_high,4,openai-gpt-oss-120b,High Intent,The 3 demo_requests indicate strong purchase interest despite moderate website dwell time.,,2.98
B_email_response_non-icp,2,apertus-70b-instruct-2509,Low Intent,Low engagement (website dwell time 40 sec) and explicit disinterest (email response 'We’re not interested') outweigh single demo request.,,5.44
A_email_response_non-icp,4,apertus-70b-instruct-2509,Low Intent,"Email response indicates lack of interest, despite demo request and reasonable website dwell time.",,4.08
B_company_size_low,4,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests indicate limited engagement. Company size and industry are neutral factors.,,3.81
A_industry_non-icp,1,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4‑minute dwell time indicates strong purchase interest.,,3.73
C_demo_requests_high,2,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (3) indicate strong interest. Promising email response further supports high intent.,,3.99
D_company_size_low,2,apertus-70b-instruct-2509,High Intent,High website dwell time (2.5 min) and multiple demo requests indicate strong interest.,,4.67
E_BASE,4,apertus-70b-instruct-2509,High Intent,Company size 250 (large) and industry Retail (common user of data analytics) indicate potential for high value engagement. Website dwell time 1 min and 1 demo request suggest active interest.,,4.27
D_BASE,3,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Energy) suggest significant potential for data analytics and AI integration. Website dwell time (2.5 min) and demo requests (2) indicate active interest. Email response indicates relevance to current initiatives.,,5.25
C_demo_requests_high,1,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests (3) indicate strong interest. Promising email response further supports high intent.,,3.21
D_region_non-icp,3,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics and AI. The email response indicates relevance to current initiatives, further supporting high intent.",,3.59
B_demo_requests_low,4,apertus-70b-instruct-2509,Low Intent,"Company size 5000 and industry Manufacturing indicate potential interest, but no demo requests or email response suggest low engagement.",,4.38
E_BASE,1,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite modest website dwell time.,,2.42
B_website_dwell_time_high,5,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement.,,3.42
E_industry_icp,2,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a reasonable website dwell time (website_dwell_time=1 min) signals strong purchase interest.,,4.26
A_region_non-icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and the industry is Finance, but the dwell time is 4 minutes, which is average, and the email response is positive but does not indicate strong purchase intent.",,3.37
A_region_non-icp,4,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a 4-minute website dwell time and a positive email response indicates strong purchase interest.,,3.84
C_BASE,4,meta-llama-3.1-8b-instruct,High Intent,"Company size is 80, indicating a medium to large organization, and the email response is very promising, suggesting active evaluation of solutions like ours.",,3.76
C_website_dwell_time_high,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) indicates a medium to large organization, which is a potential fit for our solutions. Industry (Healthcare) is a key sector for our expertise. Region (Middle East) is a target market. Website dwell time (10 min) suggests engagement. 2 demo requests indicate interest. Email response is very promising, indicating active evaluation.",,3.59
A_website_dwell_time_low,5,openai-gpt-oss-120b,Low Intent,"Demo_requests=1 indicates some interest, but low website dwell time (15 sec) and only a tentative email reply keep overall intent low.",,4.43
C_email_response_non-icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 80, which is relatively small, and the email response indicates lack of interest, outweighing the moderate dwell time and demo requests.",,3.88
D_demo_requests_low,4,openai-gpt-oss-120b,High Intent,Positive email_response indicating relevance to current initiatives outweighs lack of demo request,,4.41
B_industry_icp,2,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite no email response.,,4.5
C_industry_icp,5,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and multiple demo requests indicate strong interest. Promising email response further supports high intent.,,4.71
A_website_dwell_time_high,2,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate potential for significant investment in data analytics platforms. Website dwell time (10 min) and demo request suggest active interest. Email response 'looks interesting' indicates openness to further information.,,5.2
A_industry_icp,5,openai-gpt-oss-120b,High Intent,"The lead has a demo_requests count of 1 and a positive email response, indicating strong purchase interest.",,3.17
E_email_response_icp,3,openai-gpt-oss-120b,High Intent,Positive demo_requests and email response indicating meeting request outweigh modest website dwell time.,,2.78
C_industry_icp,2,openai-gpt-oss-120b,High Intent,"Strong signals: demo_requests=2, website_dwell_time=7min, and a very promising email response indicating active evaluation.",,3.79
C_company_size_high,3,apertus-70b-instruct-2509,High Intent,Company size (10000) and industry (Healthcare) indicate potential for significant investment. Active evaluation of solutions and promising email response further support high intent.,,5.25
D_region_non-icp,1,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics and AI. The email response indicates relevance to current initiatives, further supporting high intent.",,5.12
A_industry_non-icp,5,apertus-70b-instruct-2509,High Intent,"Company size (500) and industry (Public Service) suggest a potential for significant impact and scalability. Website dwell time (4 min) and demo request indicate active interest. Email response 'Looks interesting, could you send more info?' suggests readiness to engage further.",,4.12
A_demo_requests_high,2,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a high potential for purchase. Multiple demo requests and positive email response further support this classification.,,4.13
C_company_size_low,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (10) and industry (Healthcare) indicate a medium to large organization with specific needs, while website dwell time (7 min) and demo requests (2) suggest engagement. The email response is very promising, indicating active evaluation of solutions like ours.",,2.37
C_industry_non-icp,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) and engagement metrics (7 min dwell time, 2 demo requests, very promising email response) indicate strong interest in the solution.",,2.29
B_industry_non-icp,1,openai-gpt-oss-120b,High Intent,"The presence of a demo request (demo_requests=1) outweighs the lack of email response, indicating strong purchase intent.",,5.18
E_email_response_icp,2,apertus-70b-instruct-2509,High Intent,"Company size 250 indicates a mid-to-large enterprise, which often has budget for data analytics and AI integration. Industry Retail suggests potential for operational efficiency improvements through data-driven insights. A demo request and willingness to schedule a meeting next week further indicate active interest in exploring solutions.",,5.96
C_company_size_high,1,meta-llama-3.1-8b-instruct,High Intent,"Company size (10000) and industry (Healthcare) indicate a large organization with specific needs, while website dwell time (7 min) and demo requests (2) suggest engagement. Email response ('Very promising. We're actively evaluating solutions like this.') further indicates purchase intent.",,3.05
E_region_non-icp,4,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest potential for large-scale data analytics and AI integration. The demo request further indicates active interest.,,3.36
B_industry_icp,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests = 1) is a strong purchase intent signal despite no email response.,,4.41
A_email_response_non-icp,1,apertus-70b-instruct-2509,Low Intent,Low engagement (1 demo request) and negative email response indicate low interest.,,3.92
E_website_dwell_time_low,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is 15 sec, indicating a lack of engagement.",,3.28
C_demo_requests_high,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) indicates a medium to large organization, which is a potential fit for our solutions. Industry (Healthcare) is a key sector for our expertise. Region (Middle East) is a target market. Website dwell time (7 min) suggests engagement. Demo requests (3) indicate interest. Email response is very promising, indicating active evaluation.",,3.17
B_website_dwell_time_low,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large, but website dwell time is short and there was no email response, indicating a lack of engagement.",,3.88
A_region_non-icp,3,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate potential for significant investment in data analytics platforms. Website dwell time (4 min) and demo request suggest active interest. Email response indicates openness to more information.,,5.94
E_website_dwell_time_high,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and only one demo request was made, indicating limited purchase intent.",,4.45
E_website_dwell_time_high,5,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. The demo request further indicates active interest in our solutions.,,3.08
A_website_dwell_time_low,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 500, which is relatively small, and website dwell time is 15 seconds, indicating a lack of engagement.",,3.66
A_company_size_low,1,apertus-70b-instruct-2509,High Intent,"Company size 10 (Finance industry in Europe) with 4 min dwell time, 1 demo request, and positive email response indicate strong interest.",,4.41
C_website_dwell_time_low,1,apertus-70b-instruct-2509,High Intent,High engagement metrics (2 demo requests) and promising email response indicate strong interest in the solution.,,5.02
B_demo_requests_low,3,openai-gpt-oss-120b,Low Intent,Zero demo_requests and no email_response despite 40 sec dwell time indicates low purchase intent.,,2.76
A_email_response_icp,1,openai-gpt-oss-120b,High Intent,"Strong signals from demo_requests=1, email response requesting a meeting, and 4 min website dwell time indicate high purchase intent.",,3.65
E_demo_requests_high,4,apertus-70b-instruct-2509,High Intent,Company size (250) and industry (Retail) suggest a potential for significant data analytics needs. Multiple demo requests (3) indicate active interest in our solutions.,,4.81
C_company_size_low,2,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest. Company size (10) and industry (Healthcare) suggest potential for significant impact from data analytics/AI solutions.,,4.84
E_company_size_high,3,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (10000), but website dwell time is short (1 min) and only one demo request was made, indicating limited engagement.",,2.66
D_region_non-icp,3,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while the email response suggests relevance to current initiatives, and 2 demo requests further indicate strong interest.",,2.56
B_email_response_non-icp,1,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec) and there was only one demo request, with a negative email response indicating low purchase intent.",,4.09
C_company_size_low,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (10) and industry (Healthcare) indicate a medium to large organization with specific needs, while website dwell time (7 min) and demo requests (2) suggest engagement. The email response is very promising, indicating active evaluation of solutions like ours.",,3.99
C_industry_non-icp,2,openai-gpt-oss-120b,High Intent,Strong signals from demo_requests=2 and email_response='very promising' indicate active evaluation.,,4.4
E_demo_requests_low,2,apertus-70b-instruct-2509,Low Intent,Company size 250 (medium) and industry Retail (common) with no demo requests and short website dwell time (1 min) suggest limited interest.,,5.34
D_industry_non-icp,5,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Public Service) indicate a large organization with potential for data analytics and AI integration, while email response suggests relevance to current initiatives, and 2 demo requests indicate interest.",,3.79
E_website_dwell_time_high,5,openai-gpt-oss-120b,High Intent,Website dwell time of 10 min and demo requests = 1 show strong engagement,,3.4
C_region_icp,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (80) and engagement metrics (7 min dwell time, 2 demo requests, very promising email response) indicate a strong interest in our solution.",,3.91
E_region_icp,3,openai-gpt-oss-120b,High Intent,Demo request (demo_requests=1) indicates strong purchase interest despite modest dwell time.,,3.56
D_email_response_icp,3,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics platforms. The engagement metrics (2 demo requests and a positive email response) further indicate active interest in exploring solutions.,,5.62
E_industry_icp,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is 250, which is relatively small, and website dwell time is only 1 min, indicating limited interest in the content.",,3.88
A_demo_requests_low,3,openai-gpt-oss-120b,Low Intent,demo_requests=0 and only a modest website dwell time (4 min) indicate limited purchase intent despite a positive email response.,,2.67
D_email_response_icp,4,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response (schedule meeting) indicate strong purchase intent.,,4.2
E_company_size_low,5,apertus-70b-instruct-2509,High Intent,Company size (10) and industry (Retail) suggest potential for data analytics and AI integration. Demo request indicates active interest.,,5.21
D_company_size_high,2,openai-gpt-oss-120b,High Intent,"Positive email response, 2 demo_requests, and 2.5 min dwell time indicate strong purchase intent.",,4.1
D_BASE,3,openai-gpt-oss-120b,High Intent,Multiple demo_requests and a positive email response indicate strong purchase intent.,,2.79
D_region_icp,2,openai-gpt-oss-120b,High Intent,Multiple demo_requests (2) and a positive email response indicate strong purchase intent.,,4.06
E_industry_icp,5,openai-gpt-oss-120b,Low Intent,Only 1 demo request and a short 1 min website dwell time suggest limited purchase intent despite a relevant company size.,,4.28
A_region_non-icp,3,openai-gpt-oss-120b,High Intent,The presence of a demo request (demo_requests=1) combined with a positive email response and 4-minute website dwell time indicates strong purchase interest.,,3.76
D_email_response_icp,5,apertus-70b-instruct-2509,High Intent,Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics platforms. The engagement metrics (2 demo requests and a positive email response) further indicate active interest in exploring solutions.,,5.04
D_company_size_low,1,apertus-70b-instruct-2509,High Intent,High website dwell time (2.5 min) and multiple demo requests indicate strong interest.,,5.02
B_region_icp,2,apertus-70b-instruct-2509,Low Intent,Low email response and no demo requests beyond the initial one indicate limited engagement. Company size and industry are neutral indicators.,,3.75
C_website_dwell_time_high,1,openai-gpt-oss-120b,High Intent,"Strong signals from demo_requests=2, website_dwell_time=10min and a very promising email response indicating active evaluation.",,3.36
E_demo_requests_low,2,openai-gpt-oss-120b,Low Intent,Low website dwell time (1 min) and zero demo requests indicate limited purchase interest despite a mid-size retail firm.,,2.9
D_company_size_high,5,openai-gpt-oss-120b,High Intent,"Positive email response, 2 demo_requests, and 2.5 min dwell time indicate strong purchase intent.",,3.88
A_website_dwell_time_high,1,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate potential for significant investment in data analytics platforms. Website dwell time (10 min) and demo request suggest active interest. Email response 'looks interesting' indicates openness to further information.,,6.14
C_email_response_non-icp,5,apertus-70b-instruct-2509,Low Intent,"Email response indicates lack of interest, despite positive engagement metrics (website dwell time and demo requests).",,4.81
B_company_size_high,4,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (10000 employees), but website dwell time is short (40 sec), and there is no email response, indicating low purchase intent.",,1.63
A_website_dwell_time_low,2,openai-gpt-oss-120b,Low Intent,"Demo_requests=1 indicates some interest, but low website dwell time (15 sec) and only a tentative email reply keep overall intent low.",,3.17
D_region_non-icp,4,apertus-70b-instruct-2509,High Intent,"Company size (1200) and industry (Energy) suggest a potential for significant investment in data analytics platforms. The email response indicates relevance to current initiatives, further supporting high intent.",,5.87
A_BASE,1,apertus-70b-instruct-2509,High Intent,"Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics and AI. The website dwell time (4 min) and demo request suggest active interest. The email response 'Looks interesting, could you send more info?' indicates a willingness to learn more, further supporting high intent.",,6.52
A_region_icp,3,apertus-70b-instruct-2509,High Intent,Company size (500) and industry (Finance) indicate a potential for significant investment in data analytics platforms. The demo request and positive email response further suggest active interest.,,4.06
A_demo_requests_low,5,openai-gpt-oss-120b,Low Intent,Demo_requests=0 and only a generic email interest indicate limited purchase intent despite moderate dwell time.,,2.34
B_demo_requests_low,1,openai-gpt-oss-120b,Low Intent,Zero demo_requests and no email_response despite 40 sec dwell time indicates low purchase intent.,,2.33
D_website_dwell_time_high,1,apertus-70b-instruct-2509,High Intent,High website dwell time (10 min) and multiple demo requests (2) indicate strong interest. Email response also suggests relevance to current initiatives.,,4.25
A_website_dwell_time_high,4,openai-gpt-oss-120b,High Intent,"Strong signals: website_dwell_time=10min, demo_requests=1, positive email response",,4.18
C_company_size_low,2,meta-llama-3.1-8b-instruct,High Intent,"Company size (10) and industry (Healthcare) indicate a medium to large organization with specific needs, while website dwell time (7 min) and demo requests (2) suggest engagement, and the email response is very promising, indicating a strong purchase intent.",,2.49
D_region_icp,2,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while website dwell time (2.5 min) and demo requests (2) suggest engagement, and email response ('This looks relevant to our current initiatives.') indicates purchase intent.",,3.73
E_company_size_high,2,openai-gpt-oss-120b,Low Intent,The short website dwell time (1 min) suggests limited engagement despite the large company size and a single demo request.,,4.47
D_website_dwell_time_low,4,meta-llama-3.1-8b-instruct,High Intent,"Company size (1200) and industry (Energy) indicate a large organization with specific needs, while 2 demo requests and a positive email response ('This looks relevant to our current initiatives.') suggest strong interest in the product.",,3.69
C_demo_requests_low,1,apertus-70b-instruct-2509,High Intent,High website dwell time (7 min) and promising email response indicate strong interest.,,6.12
B_demo_requests_low,5,meta-llama-3.1-8b-instruct,Low Intent,"Company size is large (5000), but website dwell time is short (40 sec), and there are no demo requests or email responses, indicating low engagement and purchase intent.",,1.84
