company_size;industry;region;website_dwell_time;demo_requests;email_response
5000 employees (Enterprise);Manufacturing;Europe;8 minutes;3 clicks;No Response
50 employees (SME);Manufacturing;Asia;8 minutes;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Software / IT;Europe;30 seconds;0 clicks;No Response
50 employees (SME);Manufacturing;Europe;8 minutes;3 clicks;No Response
5000 employees (Enterprise);Manufacturing;Asia;8 minutes;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Manufacturing;Europe;30 seconds;0 clicks;No Response
5000 employees (Enterprise);Software / IT;Europe;8 minutes;0 clicks;No Response
50 employees (SME);Software / IT;Europe;8 minutes;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Manufacturing;Europe;8 minutes;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
5000 employees (Enterprise);Manufacturing;Europe;8 minutes;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Manufacturing;Europe;30 seconds;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Software / IT;Asia;30 seconds;3 clicks;No Response
50 employees (SME);Software / IT;Asia;8 minutes;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Manufacturing;Asia;8 minutes;3 clicks;No Response
5000 employees (Enterprise);Manufacturing;Asia;8 minutes;3 clicks;No Response
50 employees (SME);Manufacturing;Asia;30 seconds;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Software / IT;Asia;8 minutes;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
5000 employees (Enterprise);Manufacturing;Asia;8 minutes;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Software / IT;Europe;8 minutes;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
5000 employees (Enterprise);Manufacturing;Europe;30 seconds;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Manufacturing;Asia;8 minutes;0 clicks;No Response
5000 employees (Enterprise);Manufacturing;Europe;8 minutes;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
5000 employees (Enterprise);Manufacturing;Europe;30 seconds;3 clicks;No Response
5000 employees (Enterprise);Software / IT;Asia;30 seconds;0 clicks;No Response
5000 employees (Enterprise);Manufacturing;Asia;30 seconds;0 clicks;„This looks relevant. Could we schedule a meeting next week?“
5000 employees (Enterprise);Software / IT;Asia;30 seconds;3 clicks;„This looks relevant. Could we schedule a meeting next week?“
50 employees (SME);Software / IT;Asia;8 minutes;0 clicks;No Response
