profile_id,base_profile,model,feature,feature_type,n_explanations,n_code3,alignment_share,n_code0,n_code1,n_code2,complete_alignment
D_industry_non-icp,D,apertus-70b-instruct-2509,industry,Firmographic,5,5,1.0,0,0,0,1
D_industry_non-icp,D,meta-llama-3.1-8b-instruct,industry,Firmographic,5,5,1.0,0,0,0,1
D_industry_non-icp,D,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
D_region_icp,D,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
D_region_icp,D,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
D_region_icp,D,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
D_region_non-icp,D,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
D_region_non-icp,D,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,4,1,0,0
D_region_non-icp,D,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
D_website_dwell_time_high,D,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
D_website_dwell_time_high,D,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
D_website_dwell_time_high,D,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
D_website_dwell_time_low,D,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
D_website_dwell_time_low,D,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
D_website_dwell_time_low,D,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,0,0.0,0,0,5,0
E_company_size_high,E,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
E_company_size_high,E,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,0,0.0,0,0,5,0
E_company_size_high,E,openai-gpt-oss-120b,company_size,Firmographic,5,0,0.0,0,0,5,0
E_company_size_low,E,apertus-70b-instruct-2509,company_size,Firmographic,5,5,1.0,0,0,0,1
E_company_size_low,E,meta-llama-3.1-8b-instruct,company_size,Firmographic,5,5,1.0,0,0,0,1
E_company_size_low,E,openai-gpt-oss-120b,company_size,Firmographic,5,2,0.4,3,0,0,0
E_demo_requests_high,E,apertus-70b-instruct-2509,demo_requests,Behavioral,5,5,1.0,0,0,0,1
E_demo_requests_high,E,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,5,1.0,0,0,0,1
E_demo_requests_high,E,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
E_demo_requests_low,E,apertus-70b-instruct-2509,demo_requests,Behavioral,5,1,0.2,0,4,0,0
E_demo_requests_low,E,meta-llama-3.1-8b-instruct,demo_requests,Behavioral,5,3,0.6,2,0,0,0
E_demo_requests_low,E,openai-gpt-oss-120b,demo_requests,Behavioral,5,5,1.0,0,0,0,1
E_email_response_icp,E,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
E_email_response_icp,E,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
E_email_response_icp,E,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
E_email_response_non-icp,E,apertus-70b-instruct-2509,email_response,Behavioral,5,5,1.0,0,0,0,1
E_email_response_non-icp,E,meta-llama-3.1-8b-instruct,email_response,Behavioral,5,5,1.0,0,0,0,1
E_email_response_non-icp,E,openai-gpt-oss-120b,email_response,Behavioral,5,5,1.0,0,0,0,1
E_industry_icp,E,apertus-70b-instruct-2509,industry,Firmographic,5,5,1.0,0,0,0,1
E_industry_icp,E,meta-llama-3.1-8b-instruct,industry,Firmographic,5,0,0.0,5,0,0,0
E_industry_icp,E,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
E_industry_non-icp,E,apertus-70b-instruct-2509,industry,Firmographic,5,5,1.0,0,0,0,1
E_industry_non-icp,E,meta-llama-3.1-8b-instruct,industry,Firmographic,5,0,0.0,5,0,0,0
E_industry_non-icp,E,openai-gpt-oss-120b,industry,Firmographic,5,0,0.0,5,0,0,0
E_region_icp,E,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
E_region_icp,E,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
E_region_icp,E,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
E_region_non-icp,E,apertus-70b-instruct-2509,region,Firmographic,5,0,0.0,5,0,0,0
E_region_non-icp,E,meta-llama-3.1-8b-instruct,region,Firmographic,5,0,0.0,5,0,0,0
E_region_non-icp,E,openai-gpt-oss-120b,region,Firmographic,5,0,0.0,5,0,0,0
E_website_dwell_time_high,E,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,1,0.2,4,0,0,0
E_website_dwell_time_high,E,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,3,0.6,2,0,0,0
E_website_dwell_time_high,E,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
E_website_dwell_time_low,E,apertus-70b-instruct-2509,website_dwell_time,Behavioral,5,0,0.0,5,0,0,0
E_website_dwell_time_low,E,meta-llama-3.1-8b-instruct,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
E_website_dwell_time_low,E,openai-gpt-oss-120b,website_dwell_time,Behavioral,5,5,1.0,0,0,0,1
