base_profile,feature,feature_type,model,run,high,low,delta,sensitivity,fe_behavioral,cluster_pf
A,email_response,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,A__email_response
A,email_response,behavioral,openai-gpt-oss-120b,3,1,0,1,1,1,A__email_response
A,email_response,behavioral,openai-gpt-oss-120b,4,1,0,1,1,1,A__email_response
A,email_response,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,A__email_response
A,industry,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,A__industry
A,industry,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,A__industry
A,industry,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,A__industry
A,industry,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,A__industry
A,industry,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,A__industry
A,industry,firmographic,meta-llama-3.1-8b-instruct,1,1,0,1,1,0,A__industry
A,industry,firmographic,meta-llama-3.1-8b-instruct,2,1,0,1,1,0,A__industry
A,industry,firmographic,meta-llama-3.1-8b-instruct,3,1,0,1,1,0,A__industry
A,industry,firmographic,meta-llama-3.1-8b-instruct,4,1,0,1,1,0,A__industry
A,industry,firmographic,meta-llama-3.1-8b-instruct,5,1,0,1,1,0,A__industry
A,industry,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,A__industry
A,industry,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,A__industry
A,industry,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,A__industry
A,industry,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,A__industry
A,industry,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,A__industry
A,region,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,A__region
A,region,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,A__region
A,region,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,A__region
A,region,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,A__region
A,region,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,A__region
A,region,firmographic,meta-llama-3.1-8b-instruct,1,0,0,0,0,0,A__region
A,region,firmographic,meta-llama-3.1-8b-instruct,2,1,0,1,1,0,A__region
A,region,firmographic,meta-llama-3.1-8b-instruct,3,0,1,-1,1,0,A__region
A,region,firmographic,meta-llama-3.1-8b-instruct,4,0,0,0,0,0,A__region
A,region,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,A__region
A,region,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,A__region
A,region,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,A__region
A,region,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,A__region
A,region,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,A__region
A,region,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,A__region
A,website_dwell_time,behavioral,apertus-70b-instruct-2509,1,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,apertus-70b-instruct-2509,2,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,apertus-70b-instruct-2509,3,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,apertus-70b-instruct-2509,4,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,apertus-70b-instruct-2509,5,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,A__website_dwell_time
A,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,2,0,0,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,A__website_dwell_time
A,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,4,0,0,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,5,0,0,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,A__website_dwell_time
A,website_dwell_time,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,A__website_dwell_time
A,website_dwell_time,behavioral,openai-gpt-oss-120b,3,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,openai-gpt-oss-120b,4,1,1,0,0,1,A__website_dwell_time
A,website_dwell_time,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,A__website_dwell_time
B,company_size,firmographic,apertus-70b-instruct-2509,1,0,0,0,0,0,B__company_size
B,company_size,firmographic,apertus-70b-instruct-2509,2,0,0,0,0,0,B__company_size
B,company_size,firmographic,apertus-70b-instruct-2509,3,0,0,0,0,0,B__company_size
B,company_size,firmographic,apertus-70b-instruct-2509,4,0,0,0,0,0,B__company_size
B,company_size,firmographic,apertus-70b-instruct-2509,5,0,0,0,0,0,B__company_size
B,company_size,firmographic,meta-llama-3.1-8b-instruct,1,0,0,0,0,0,B__company_size
B,company_size,firmographic,meta-llama-3.1-8b-instruct,2,0,0,0,0,0,B__company_size
B,company_size,firmographic,meta-llama-3.1-8b-instruct,3,0,0,0,0,0,B__company_size
B,company_size,firmographic,meta-llama-3.1-8b-instruct,4,0,0,0,0,0,B__company_size
B,company_size,firmographic,meta-llama-3.1-8b-instruct,5,0,0,0,0,0,B__company_size
B,company_size,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,B__company_size
B,company_size,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,B__company_size
B,company_size,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,B__company_size
B,company_size,firmographic,openai-gpt-oss-120b,4,0,1,-1,1,0,B__company_size
B,company_size,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,B__company_size
B,demo_requests,behavioral,apertus-70b-instruct-2509,1,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,apertus-70b-instruct-2509,2,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,apertus-70b-instruct-2509,3,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,apertus-70b-instruct-2509,4,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,apertus-70b-instruct-2509,5,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,meta-llama-3.1-8b-instruct,1,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,meta-llama-3.1-8b-instruct,2,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,B__demo_requests
B,demo_requests,behavioral,meta-llama-3.1-8b-instruct,4,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,meta-llama-3.1-8b-instruct,5,0,0,0,0,1,B__demo_requests
B,demo_requests,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,B__demo_requests
B,demo_requests,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,B__demo_requests
B,demo_requests,behavioral,openai-gpt-oss-120b,3,1,0,1,1,1,B__demo_requests
B,demo_requests,behavioral,openai-gpt-oss-120b,4,1,0,1,1,1,B__demo_requests
B,demo_requests,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,B__demo_requests
B,email_response,behavioral,apertus-70b-instruct-2509,1,1,0,1,1,1,B__email_response
B,email_response,behavioral,apertus-70b-instruct-2509,2,1,0,1,1,1,B__email_response
B,email_response,behavioral,apertus-70b-instruct-2509,3,1,0,1,1,1,B__email_response
B,email_response,behavioral,apertus-70b-instruct-2509,4,1,0,1,1,1,B__email_response
B,email_response,behavioral,apertus-70b-instruct-2509,5,1,0,1,1,1,B__email_response
B,email_response,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,B__email_response
B,email_response,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,B__email_response
B,email_response,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,B__email_response
B,email_response,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,B__email_response
B,email_response,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,B__email_response
B,email_response,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,B__email_response
B,email_response,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,B__email_response
B,email_response,behavioral,openai-gpt-oss-120b,3,1,0,1,1,1,B__email_response
B,email_response,behavioral,openai-gpt-oss-120b,4,1,0,1,1,1,B__email_response
B,email_response,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,B__email_response
B,industry,firmographic,apertus-70b-instruct-2509,1,0,0,0,0,0,B__industry
B,industry,firmographic,apertus-70b-instruct-2509,2,0,0,0,0,0,B__industry
B,industry,firmographic,apertus-70b-instruct-2509,3,0,0,0,0,0,B__industry
B,industry,firmographic,apertus-70b-instruct-2509,4,0,0,0,0,0,B__industry
B,industry,firmographic,apertus-70b-instruct-2509,5,0,0,0,0,0,B__industry
B,industry,firmographic,meta-llama-3.1-8b-instruct,1,0,0,0,0,0,B__industry
B,industry,firmographic,meta-llama-3.1-8b-instruct,2,0,0,0,0,0,B__industry
B,industry,firmographic,meta-llama-3.1-8b-instruct,3,0,0,0,0,0,B__industry
B,industry,firmographic,meta-llama-3.1-8b-instruct,4,0,0,0,0,0,B__industry
B,industry,firmographic,meta-llama-3.1-8b-instruct,5,0,0,0,0,0,B__industry
B,industry,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,B__industry
B,industry,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,B__industry
B,industry,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,B__industry
B,industry,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,B__industry
B,industry,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,B__industry
B,region,firmographic,apertus-70b-instruct-2509,1,0,0,0,0,0,B__region
B,region,firmographic,apertus-70b-instruct-2509,2,0,0,0,0,0,B__region
B,region,firmographic,apertus-70b-instruct-2509,3,0,0,0,0,0,B__region
B,region,firmographic,apertus-70b-instruct-2509,4,0,0,0,0,0,B__region
B,region,firmographic,apertus-70b-instruct-2509,5,0,0,0,0,0,B__region
B,region,firmographic,meta-llama-3.1-8b-instruct,1,0,0,0,0,0,B__region
B,region,firmographic,meta-llama-3.1-8b-instruct,2,0,0,0,0,0,B__region
B,region,firmographic,meta-llama-3.1-8b-instruct,3,0,0,0,0,0,B__region
B,region,firmographic,meta-llama-3.1-8b-instruct,4,0,0,0,0,0,B__region
B,region,firmographic,meta-llama-3.1-8b-instruct,5,0,0,0,0,0,B__region
B,region,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,B__region
B,region,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,B__region
B,region,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,B__region
B,region,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,B__region
B,region,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,B__region
B,website_dwell_time,behavioral,apertus-70b-instruct-2509,1,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,apertus-70b-instruct-2509,2,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,apertus-70b-instruct-2509,3,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,apertus-70b-instruct-2509,4,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,apertus-70b-instruct-2509,5,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,1,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,2,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,3,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,4,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,5,0,0,0,0,1,B__website_dwell_time
B,website_dwell_time,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,B__website_dwell_time
B,website_dwell_time,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,B__website_dwell_time
B,website_dwell_time,behavioral,openai-gpt-oss-120b,3,1,0,1,1,1,B__website_dwell_time
B,website_dwell_time,behavioral,openai-gpt-oss-120b,4,1,0,1,1,1,B__website_dwell_time
B,website_dwell_time,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,B__website_dwell_time
C,company_size,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,C__company_size
C,company_size,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,C__company_size
C,company_size,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,C__company_size
C,company_size,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,C__company_size
C,company_size,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,C__company_size
C,company_size,firmographic,meta-llama-3.1-8b-instruct,1,1,1,0,0,0,C__company_size
C,company_size,firmographic,meta-llama-3.1-8b-instruct,2,1,1,0,0,0,C__company_size
C,company_size,firmographic,meta-llama-3.1-8b-instruct,3,1,1,0,0,0,C__company_size
C,company_size,firmographic,meta-llama-3.1-8b-instruct,4,1,1,0,0,0,C__company_size
C,company_size,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,C__company_size
C,company_size,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,C__company_size
C,company_size,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,C__company_size
C,company_size,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,C__company_size
C,company_size,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,C__company_size
C,company_size,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,C__company_size
C,demo_requests,behavioral,apertus-70b-instruct-2509,1,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,apertus-70b-instruct-2509,2,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,apertus-70b-instruct-2509,3,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,apertus-70b-instruct-2509,4,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,apertus-70b-instruct-2509,5,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,meta-llama-3.1-8b-instruct,1,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,meta-llama-3.1-8b-instruct,2,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,meta-llama-3.1-8b-instruct,3,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,meta-llama-3.1-8b-instruct,4,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,meta-llama-3.1-8b-instruct,5,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,openai-gpt-oss-120b,1,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,openai-gpt-oss-120b,2,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,openai-gpt-oss-120b,3,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,openai-gpt-oss-120b,4,1,1,0,0,1,C__demo_requests
C,demo_requests,behavioral,openai-gpt-oss-120b,5,1,1,0,0,1,C__demo_requests
C,email_response,behavioral,apertus-70b-instruct-2509,1,1,0,1,1,1,C__email_response
C,email_response,behavioral,apertus-70b-instruct-2509,2,1,0,1,1,1,C__email_response
C,email_response,behavioral,apertus-70b-instruct-2509,3,1,0,1,1,1,C__email_response
C,email_response,behavioral,apertus-70b-instruct-2509,4,1,0,1,1,1,C__email_response
C,email_response,behavioral,apertus-70b-instruct-2509,5,1,0,1,1,1,C__email_response
C,email_response,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,C__email_response
C,email_response,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,C__email_response
C,email_response,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,C__email_response
C,email_response,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,C__email_response
C,email_response,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,C__email_response
C,email_response,behavioral,openai-gpt-oss-120b,1,1,0,1,1,1,C__email_response
C,email_response,behavioral,openai-gpt-oss-120b,2,1,0,1,1,1,C__email_response
C,email_response,behavioral,openai-gpt-oss-120b,3,1,1,0,0,1,C__email_response
C,email_response,behavioral,openai-gpt-oss-120b,4,1,1,0,0,1,C__email_response
C,email_response,behavioral,openai-gpt-oss-120b,5,1,0,1,1,1,C__email_response
C,industry,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,C__industry
C,industry,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,C__industry
C,industry,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,C__industry
C,industry,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,C__industry
C,industry,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,C__industry
C,industry,firmographic,meta-llama-3.1-8b-instruct,1,1,1,0,0,0,C__industry
C,industry,firmographic,meta-llama-3.1-8b-instruct,2,1,1,0,0,0,C__industry
C,industry,firmographic,meta-llama-3.1-8b-instruct,3,1,1,0,0,0,C__industry
C,industry,firmographic,meta-llama-3.1-8b-instruct,4,1,1,0,0,0,C__industry
C,industry,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,C__industry
C,industry,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,C__industry
C,industry,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,C__industry
C,industry,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,C__industry
C,industry,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,C__industry
C,industry,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,C__industry
C,region,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,C__region
C,region,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,C__region
C,region,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,C__region
C,region,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,C__region
C,region,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,C__region
C,region,firmographic,meta-llama-3.1-8b-instruct,1,1,1,0,0,0,C__region
C,region,firmographic,meta-llama-3.1-8b-instruct,2,1,1,0,0,0,C__region
C,region,firmographic,meta-llama-3.1-8b-instruct,3,1,1,0,0,0,C__region
C,region,firmographic,meta-llama-3.1-8b-instruct,4,1,1,0,0,0,C__region
C,region,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,C__region
C,region,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,C__region
C,region,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,C__region
C,region,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,C__region
C,region,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,C__region
C,region,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,C__region
C,website_dwell_time,behavioral,apertus-70b-instruct-2509,1,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,apertus-70b-instruct-2509,2,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,apertus-70b-instruct-2509,3,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,apertus-70b-instruct-2509,4,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,apertus-70b-instruct-2509,5,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,1,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,2,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,3,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,4,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,meta-llama-3.1-8b-instruct,5,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,openai-gpt-oss-120b,1,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,openai-gpt-oss-120b,2,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,openai-gpt-oss-120b,3,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,openai-gpt-oss-120b,4,1,1,0,0,1,C__website_dwell_time
C,website_dwell_time,behavioral,openai-gpt-oss-120b,5,1,1,0,0,1,C__website_dwell_time
D,company_size,firmographic,apertus-70b-instruct-2509,1,1,1,0,0,0,D__company_size
D,company_size,firmographic,apertus-70b-instruct-2509,2,1,1,0,0,0,D__company_size
D,company_size,firmographic,apertus-70b-instruct-2509,3,1,1,0,0,0,D__company_size
D,company_size,firmographic,apertus-70b-instruct-2509,4,1,1,0,0,0,D__company_size
D,company_size,firmographic,apertus-70b-instruct-2509,5,1,1,0,0,0,D__company_size
D,company_size,firmographic,meta-llama-3.1-8b-instruct,1,1,1,0,0,0,D__company_size
D,company_size,firmographic,meta-llama-3.1-8b-instruct,2,1,1,0,0,0,D__company_size
D,company_size,firmographic,meta-llama-3.1-8b-instruct,3,1,1,0,0,0,D__company_size
D,company_size,firmographic,meta-llama-3.1-8b-instruct,4,1,1,0,0,0,D__company_size
D,company_size,firmographic,meta-llama-3.1-8b-instruct,5,1,1,0,0,0,D__company_size
D,company_size,firmographic,openai-gpt-oss-120b,1,1,1,0,0,0,D__company_size
D,company_size,firmographic,openai-gpt-oss-120b,2,1,1,0,0,0,D__company_size
D,company_size,firmographic,openai-gpt-oss-120b,3,1,1,0,0,0,D__company_size
D,company_size,firmographic,openai-gpt-oss-120b,4,1,1,0,0,0,D__company_size
D,company_size,firmographic,openai-gpt-oss-120b,5,1,1,0,0,0,D__company_size
D,demo_requests,behavioral,apertus-70b-instruct-2509,1,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,apertus-70b-instruct-2509,2,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,apertus-70b-instruct-2509,3,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,apertus-70b-instruct-2509,4,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,apertus-70b-instruct-2509,5,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,D__demo_requests
D,demo_requests,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,D__demo_requests
D,demo_requests,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,D__demo_requests
D,demo_requests,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,D__demo_requests
D,demo_requests,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,D__demo_requests
D,demo_requests,behavioral,openai-gpt-oss-120b,1,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,openai-gpt-oss-120b,2,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,openai-gpt-oss-120b,3,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,openai-gpt-oss-120b,4,1,1,0,0,1,D__demo_requests
D,demo_requests,behavioral,openai-gpt-oss-120b,5,1,1,0,0,1,D__demo_requests
D,email_response,behavioral,apertus-70b-instruct-2509,1,1,0,1,1,1,D__email_response
D,email_response,behavioral,apertus-70b-instruct-2509,2,1,0,1,1,1,D__email_response
D,email_response,behavioral,apertus-70b-instruct-2509,3,1,0,1,1,1,D__email_response
D,email_response,behavioral,apertus-70b-instruct-2509,4,1,0,1,1,1,D__email_response
D,email_response,behavioral,apertus-70b-instruct-2509,5,1,0,1,1,1,D__email_response
D,email_response,behavioral,meta-llama-3.1-8b-instruct,1,1,0,1,1,1,D__email_response
D,email_response,behavioral,meta-llama-3.1-8b-instruct,2,1,0,1,1,1,D__email_response
D,email_response,behavioral,meta-llama-3.1-8b-instruct,3,1,0,1,1,1,D__email_response
D,email_response,behavioral,meta-llama-3.1-8b-instruct,4,1,0,1,1,1,D__email_response
D,email_response,behavioral,meta-llama-3.1-8b-instruct,5,1,0,1,1,1,D__email_response
