prompt_version,case_id,run,model,raw_response,intent,reasoning,format_ok,parse_error,reasoning_word_count,latency_s,input_tokens,output_tokens,total_tokens
v1,27,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.""
}",High Intent,"The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.",True,,105,0.92,176,152,328
v1,27,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.""
}",High Intent,"The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.",True,,105,0.84,176,152,328
v1,27,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a key focus area for the firm. The lead's region, Middle East, is also a valid target market. The website dwell time of 7 minutes indicates a high level of engagement. The lead has requested 2 demos, which suggests a strong interest in the firm's solutions. Finally, the email response is very promising, indicating a high level of interest in the firm's solutions and a willingness to evaluate them further.""
}",High Intent,"The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a key focus area for the firm. The lead's region, Middle East, is also a valid target market. The website dwell time of 7 minutes indicates a high level of engagement. The lead has requested 2 demos, which suggests a strong interest in the firm's solutions. Finally, the email response is very promising, indicating a high level of interest in the firm's solutions and a willingness to evaluate them further.",True,,95,0.89,176,136,312
v1,27,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.""
}",High Intent,"The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.",True,,105,0.83,176,152,328
v1,27,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.""
}",High Intent,"The lead's company size of 80 suggests a mid-market company, which aligns with the consulting firm's target market. The lead's industry is Healthcare, which is a relevant sector for the firm's data-driven platforms. The lead's region, Middle East, is also a valid target for the firm. The 7-minute website dwell time indicates a high level of interest in the firm's services. Additionally, the lead has requested 2 demos, which suggests a strong desire to learn more about the firm's solutions. Finally, the email response is very promising, indicating that the lead is actively evaluating solutions like the firm's, which further supports a High Intent classification.",True,,105,0.85,176,152,328
v2,1,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's website dwell time is 4 minutes, which is relatively short. Additionally, they only requested a demo once, and their email response indicates a lack of clear interest, asking for more information without expressing a strong desire to learn more. These factors suggest a lower level of intent.""
}",Low Intent,"The lead's website dwell time is 4 minutes, which is relatively short. Additionally, they only requested a demo once, and their email response indicates a lack of clear interest, asking for more information without expressing a strong desire to learn more. These factors suggest a lower level of intent.",True,,49,0.56,173,75,248
v2,1,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.""
}",Low Intent,"The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.",True,,44,0.53,173,72,245
v2,1,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.""
}",Low Intent,"The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.",True,,44,0.72,173,72,245
v2,1,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.""
}",Low Intent,"The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.",True,,44,0.51,173,72,245
v2,1,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.""
}",Low Intent,"The lead's website dwell time is 4 minutes, which is relatively short, and they only requested a demo once. Additionally, their email response is a generic 'looks interesting' which doesn't indicate a strong level of interest. These factors suggest a lower level of intent.",True,,44,0.49,173,72,245
v2,14,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead has a high company size of 5000, which suggests a large organization, but the industry is Manufacturing, which may not be directly related to the company's expertise in data-driven mid-market platforms for customer and sales analytics. Additionally, the website dwell time is 40 seconds, which is relatively short, indicating a lack of interest in the content. Furthermore, there is only 1 demo request, which is a low number, and there is no email response, suggesting a lack of engagement.""
}",Low Intent,"The lead has a high company size of 5000, which suggests a large organization, but the industry is Manufacturing, which may not be directly related to the company's expertise in data-driven mid-market platforms for customer and sales analytics. Additionally, the website dwell time is 40 seconds, which is relatively short, indicating a lack of interest in the content. Furthermore, there is only 1 demo request, which is a low number, and there is no email response, suggesting a lack of engagement.",True,,81,0.72,169,118,287
v2,14,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.""
}",Low Intent,"The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.",True,,49,0.46,169,75,244
v2,14,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.""
}",Low Intent,"The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.",True,,49,0.47,169,75,244
v2,14,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.""
}",Low Intent,"The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.",True,,49,0.48,169,75,244
v2,14,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""Low Intent"",
  ""reasoning"": ""The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.""
}",Low Intent,"The lead has a low website dwell time of 40 seconds, which suggests a lack of interest in the company's offerings. Additionally, there are no demo requests, which is a key indicator of intent, and the email response is also not engaged, further indicating a low level of interest.",True,,49,0.66,169,75,244
v2,27,1,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's email response is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that is likely to have a dedicated team for evaluating and implementing new solutions.""
}",High Intent,"The lead's email response is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that is likely to have a dedicated team for evaluating and implementing new solutions.",True,,39,0.42,176,64,240
v2,27,2,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.""
}",High Intent,"The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.",True,,35,0.39,176,60,236
v2,27,3,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.""
}",High Intent,"The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.",True,,35,0.4,176,60,236
v2,27,4,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.""
}",High Intent,"The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.",True,,35,0.43,176,60,236
v2,27,5,meta-llama-3.1-8b-instruct,"{
  ""intent"": ""High Intent"",
  ""reasoning"": ""The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.""
}",High Intent,"The lead's response to the email is very promising, indicating a strong interest in the solution. Additionally, the company size is 80, which suggests a mid-sized organization that may be actively evaluating solutions like this.",True,,35,0.39,176,60,236
v3,1,1,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a key target market for the company's services, the lead's response to the email is lukewarm ('Looks interesting, could you send more info?'). This suggests a lack of strong interest or urgency. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. The website dwell time of 4 minutes is also not particularly high, indicating that the lead may not have been deeply engaged with the company's content. Overall, these factors suggest a low likelihood of purchase intent.""
}",Low Intent,"The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a key target market for the company's services, the lead's response to the email is lukewarm ('Looks interesting, could you send more info?'). This suggests a lack of strong interest or urgency. Additionally, the lead has only requested one demo, which is a relatively low number compared to other leads. The website dwell time of 4 minutes is also not particularly high, indicating that the lead may not have been deeply engaged with the company's content. Overall, these factors suggest a low likelihood of purchase intent.",True,,107,0.92,203,147,350
v3,1,2,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.""
}",Low Intent,"The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.",True,,98,0.82,203,135,338
v3,1,3,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.""
}",Low Intent,"The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.",True,,98,0.82,203,135,338
v3,1,4,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.""
}",Low Intent,"The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.",True,,98,0.92,203,135,338
v3,1,5,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.""
}",Low Intent,"The lead's company size is 500, which is a relatively small to mid-sized company. Although the industry is Finance, which is a good fit for the company's services, the region is Europe, which is the company's target market. However, the website dwell time of 4 minutes is relatively short, indicating a lack of engagement with the company's content. Additionally, the lead has only requested one demo, which is a low number compared to other leads. The email response is positive, but it does not indicate a strong level of interest or a clear understanding of the company's services.",True,,98,0.84,203,135,338
v3,14,1,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead is from a different region (North America) than the company's focus (Europe), which suggests a lower likelihood of purchase intent. Additionally, the company size is large, but the industry (Manufacturing) is not a primary target for the company's data-driven mid-market platforms. The website dwell time is relatively short, indicating a lack of interest in the company's services. Furthermore, there is only one demo request, which may not be a strong indicator of purchase intent. Lastly, the email response is no response, which suggests a lack of engagement with the company's content. These factors combined suggest a low likelihood of purchase intent.""
}",Low Intent,"The lead is from a different region (North America) than the company's focus (Europe), which suggests a lower likelihood of purchase intent. Additionally, the company size is large, but the industry (Manufacturing) is not a primary target for the company's data-driven mid-market platforms. The website dwell time is relatively short, indicating a lack of interest in the company's services. Furthermore, there is only one demo request, which may not be a strong indicator of purchase intent. Lastly, the email response is no response, which suggests a lack of engagement with the company's content. These factors combined suggest a low likelihood of purchase intent.",True,,103,0.9,198,144,342
v3,14,2,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests a lack of engagement with the company's content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest in engaging with the company's sales team.""
}",Low Intent,"The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests a lack of engagement with the company's content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest in engaging with the company's sales team.",True,,92,0.92,198,132,330
v3,14,3,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests that the lead may not be highly engaged with the content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest or follow-through. These factors collectively contribute to a 'Low Intent' classification.""
}",Low Intent,"The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests that the lead may not be highly engaged with the content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest or follow-through. These factors collectively contribute to a 'Low Intent' classification.",True,,99,0.82,198,141,339
v3,14,4,meta-llama-3.1-8b-instruct,"{
""intent"": ""Low Intent"",
""reasoning"": ""The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests that the lead may not be highly engaged with the content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest or follow-through. These factors collectively contribute to a 'Low Intent' classification.""
}",Low Intent,"The lead is from a different region (North America) than the company's focus (Europe), which already reduces the likelihood of purchase intent. Additionally, the company size is relatively large, but the industry (Manufacturing) is not a primary focus for the company's data-driven mid-market platforms. The low website dwell time (40 sec) suggests that the lead may not be highly engaged with the content. Furthermore, there is only one demo request, which is a relatively low number, and the email response was no response, indicating a lack of interest or follow-through. These factors collectively contribute to a 'Low Intent' classification.",True,,99,1.06,198,141,339
